scenario,repeat_id,n,events,symbol,tcga_log_hr,log_hr,hr,p_value,same_tcga_direction
size_matched_39,239,39,9,GJB1,-0.4272749730657404,0.10990450996650569,1.1161714821176774,0.7850215298614925,FALSE
size_matched_39,239,39,9,ACADM,-0.4484141243283115,-0.5418574482967081,0.581666832277085,0.1476185651793842,TRUE
size_matched_39,239,39,9,CLCN5,-0.4176541545204886,0.38206160929813465,1.4653023586019573,0.31772323766509125,FALSE
size_matched_39,239,39,9,TMEM140,-0.4073424327415841,-0.07093934539853154,0.931518391290892,0.8529392181546368,TRUE
size_matched_39,239,39,9,C1QTNF6,0.43509983532112984,-0.07617410671587253,0.9266548556799842,0.8326572034470577,FALSE
size_matched_39,239,39,9,CADPS2,-0.41010601450174866,-0.7757506154979517,0.46035809935421346,0.003317310408928993,TRUE
size_matched_39,239,39,9,KNTC1,0.41317926152804135,0.3011492735085828,1.3514110563522213,0.362474132776754,TRUE
size_matched_39,239,39,9,PODXL,-0.41295393620776416,-0.7753499388749635,0.4605425910411128,0.016433070000710637,TRUE
size_matched_39,239,39,9,HIBCH,-0.4099623749107515,-0.24505892577207283,0.7826584181314923,0.5104387618413109,TRUE
size_matched_39,239,39,9,TNIP1,-0.414945866298316,0.09531456548101999,1.1000048242549434,0.7905568229235916,FALSE
size_matched_39,239,39,9,TCIRG1,0.4257531411377312,0.29975136494782956,1.3495232270812243,0.48453271585711427,TRUE
size_matched_39,239,39,9,LTB4R,0.4152348937982004,0.47631496413622476,1.6101300693289273,0.19219973078792435,TRUE
size_matched_39,239,39,9,LRBA,-0.42337150345977026,-0.20053351997847824,0.8182940603667217,0.54447559813769,TRUE
size_matched_39,239,39,9,GRAMD1A,0.4057580580941821,0.4331851031287626,1.542161653229661,0.2726786991248692,TRUE
size_matched_39,239,39,9,IFFO1,0.4086497996244981,-0.17137813500003402,0.842502933384188,0.6446437083848638,FALSE
size_matched_39,239,39,9,TNFAIP2,0.42728551519013547,0.1358617906020331,1.1455235605318972,0.7040030182080234,TRUE
full_cohort,240,73,16,CYFIP2,-0.4403276873957715,-0.4616817034392977,0.6302229058039002,0.10173926473819543,TRUE
full_cohort,240,73,16,CRYL1,-0.4562451822719112,-0.4240549614853556,0.6543879147886689,0.0543914801832432,TRUE
