accession,symbol,log2FoldChange,AveExpr,t,pvalue,padj,B,significant
GSE40435,SPAG4,1.6442428670891107,7.6992347878613865,30.37865412109846,8.5017228641293e-53,2.635870789775692e-50,110.05134660631457,TRUE
GSE40435,DPEP1,-3.711979754930693,8.852806621544554,-30.335478616932914,9.685073204396181e-53,2.9733174737496275e-50,109.92142701566932,TRUE
GSE40435,DIO1,-3.2169896053663356,8.449056613735973,-30.308997089275405,1.049174784228255e-52,3.189695067312969e-50,109.84166609474781,TRUE
GSE40435,CEL,-1.7100922201386168,7.769810127712871,-30.275867956903692,1.1597091083909712e-52,3.491839521168738e-50,109.74180227132219,TRUE
GSE40435,TMPRSS2,-2.809722311910893,8.370834353935644,-30.26494432042295,1.19867392938449e-52,3.574788135690088e-50,109.70885459076082,TRUE
GSE40435,RASL11B,-2.268765369029704,8.49299176669307,-30.241515504085612,1.2867582808149901e-52,3.80127818919251e-50,109.63815605951527,TRUE
GSE40435,AK3,-1.1836755114752489,10.53842573188614,-30.03676092309375,2.395811920726499e-52,7.011444344451363e-50,109.01837162873491,TRUE
GSE40435,KCNJ10,-0.9547309924851494,7.57755247520297,-30.010926776969892,2.591898188765762e-52,7.515064803982508e-50,108.93992700761154,FALSE
GSE40435,FUT3,-1.5139105602277227,7.573857096569307,-29.99299620575963,2.7374401750601825e-52,7.864238682737116e-50,108.8854488828676,TRUE
GSE40435,ZMYND12,-1.092847688960398,7.943055439727723,-29.920006814114686,3.4201507567721855e-52,9.736236436142203e-50,108.66341145192725,TRUE
GSE40435,ABAT,-1.265084911415842,7.468603614153466,-29.91449648219518,3.4781900181471915e-52,9.812256056600105e-50,108.6466307855247,TRUE
GSE40435,VTCN1,-2.1454670712871264,7.812431992128713,-29.90280288408673,3.6046694864875266e-52,1.0078269669631287e-49,108.61101179689152,TRUE
GSE40435,C19orf69,-2.058628737653467,7.997547850391089,-29.86903872951224,3.996524524296439e-52,1.0985602475759646e-49,108.50810149857382,TRUE
GSE40435,SLC22A7,-1.5976958329405957,7.674016839866336,-29.868807019305034,3.9993570998166944e-52,1.0985602475759646e-49,108.5073949374733,TRUE
GSE40435,WNK4,-2.226356222980201,8.023023005549504,-29.81207960765059,4.757503763420326e-52,1.2954475899803832e-49,108.33427960126092,TRUE
GSE40435,SLC2A1,2.3585158565940603,9.684207443247525,29.786639432633198,5.1431060727150415e-52,1.388372616905162e-49,108.2565564481983,TRUE
GSE40435,GSTM3,-2.154191668693071,9.005873481772277,-29.776450891893088,5.306242189826989e-52,1.4201681019849771e-49,108.22541391699241,TRUE
GSE40435,RNF145,1.088521395425744,8.752356533158416,29.655151371625095,7.700675209034647e-52,2.0435503686077196e-49,107.85397889776137,TRUE
