clinical_c,gene_c,delta_c,clinical_brier3,gene_brier3,delta_brier3,clinical_calibration_slope,gene_calibration_slope,simulation,fold,selected_gene
0.701081081081081,0.701081081081081,0,0.184154459567605,0.184154459567605,0,0.6662595990250356,0.6662595990250356,76,1,NA
0.6714285714285715,0.6714285714285715,0,0.10555678951517589,0.10555678951517589,0,0.5873045981177731,0.5873045981177731,77,2,NA
0.6461739699149771,0.6461739699149771,0,0.16347703088537915,0.16347703088537915,0,0.6055511074545322,0.6055511074545322,78,3,NA
0.7020626432391138,0.7020626432391138,0,0.12296706995042482,0.12296706995042482,0,1.0781959469023512,1.0781959469023512,79,4,NA
0.733015494636472,0.733015494636472,0,0.1050358384357991,0.1050358384357991,0,0.9104263241614726,0.9104263241614726,80,5,NA
0.7747368421052632,0.7747368421052632,0,0.1436543541892998,0.1436543541892998,0,1.2127633638986084,1.2127633638986084,81,1,NA
0.7278724573941726,0.7278724573941726,0,0.13034733677972876,0.13034733677972876,0,0.9119395953720602,0.9119395953720602,82,2,NA
0.7313156269302038,0.730697961704756,-6.176652254478165e-4,0.15160650099604292,0.15690999449381082,0.005303493497767903,0.6282864770275726,0.585392881838861,83,3,ENSG00000152137.8
0.8533747090768038,0.8533747090768038,0,0.09079072294644243,0.09079072294644243,0,1.4935609642586825,1.4935609642586825,84,4,NA
0.715292459478506,0.715292459478506,0,0.13391476689172896,0.13391476689172896,0,0.6131524996408803,0.6131524996408803,85,5,NA
0.7354260089686099,0.7354260089686099,0,0.09826955701072974,0.09826955701072974,0,1.1041489647569351,1.1041489647569351,86,1,NA
0.8030218242865137,0.8030218242865137,0,0.12041820374732301,0.12041820374732301,0,1.5053924174462285,1.5053924174462285,87,2,NA
0.7714285714285714,0.7714285714285714,0,0.14843394027104084,0.14843394027104084,0,0.9181966775490169,0.9181966775490169,88,3,NA
0.756473829201102,0.756473829201102,0,0.13652439660137108,0.13652439660137108,0,1.0661343864733128,1.0661343864733128,89,4,NA
0.7645861601085482,0.7645861601085482,0,0.11271406474527931,0.11271406474527931,0,0.892248621794008,0.892248621794008,90,5,NA
0.6888387824126269,0.6888387824126269,0,0.15578926866625276,0.15578926866625276,0,0.8319993778169462,0.8319993778169462,91,1,NA
0.7681740125930165,0.7681740125930165,0,0.11550860655321829,0.11550860655321829,0,1.2398561746346493,1.2398561746346493,92,2,NA
0.6249268578115857,0.6249268578115857,0,0.1805570470091337,0.1805570470091337,0,0.6041747079997841,0.6041747079997841,93,3,NA
0.719815668202765,0.719815668202765,0,0.09363363821426898,0.09363363821426898,0,1.1597376691093813,1.1597376691093813,94,4,NA
0.7361111111111112,0.7361111111111112,0,0.1380605204764194,0.1380605204764194,0,1.024214602101769,1.024214602101769,95,5,NA
0.6666666666666666,0.6666666666666666,0,0.17437076129538018,0.17437076129538018,0,0.4800299048783696,0.4800299048783696,96,1,NA
0.7473035439137135,0.7473035439137135,0,0.0928193033706855,0.0928193033706855,0,1.3419879764136808,1.3419879764136808,97,2,NA
0.6825749167591565,0.6825749167591565,0,0.1565817489976134,0.1565817489976134,0,0.5402811003571186,0.5402811003571186,98,3,NA
0.7158792650918635,0.7158792650918635,0,0.16526296798851403,0.16526296798851403,0,0.8478195253425825,0.8478195253425825,99,4,NA
0.8147826086956522,0.8147826086956522,0,0.05709404836718324,0.05709404836718324,0,1.1906233098854584,1.1906233098854584,100,5,NA
0.652449567723343,0.652449567723343,0,0.18561891476443076,0.18561891476443076,0,0.7128040009791738,0.7128040009791738,101,1,NA
0.8306836248012719,0.8306836248012719,0,0.0890289158120667,0.0890289158120667,0,1.1346177830848885,1.1346177830848885,102,2,NA
0.7179902755267423,0.7179902755267423,0,0.1430172836778355,0.1430172836778355,0,0.6736605849064666,0.6736605849064666,103,3,NA
0.8469135802469137,0.8469135802469137,0,0.07608856473344434,0.07608856473344434,0,1.6464540943166204,1.6464540943166204,104,4,NA
0.8260558339298496,0.8260558339298496,0,0.10412508017749979,0.10412508017749979,0,1.3321807238622927,1.3321807238622927,105,5,NA
0.7245409015025042,0.7245409015025042,0,0.15826042442436286,0.15826042442436286,0,0.7494360495245217,0.7494360495245217,106,1,NA
0.8105515587529977,0.8105515587529977,0,0.12039217010671834,0.12039217010671834,0,1.2162803114300575,1.2162803114300575,107,2,NA
0.7103064066852367,0.7103064066852367,0,0.14086255717654997,0.14086255717654997,0,0.5497649226943109,0.5497649226943109,108,3,NA
0.638623326959847,0.638623326959847,0,0.14604076055859655,0.14604076055859655,0,0.5565841476148738,0.5565841476148738,109,4,NA
0.8182989690721649,0.8182989690721649,0,0.0803701263184785,0.0803701263184785,0,1.0756089743929362,1.0756089743929362,110,5,NA
0.8240917782026769,0.8240917782026769,0,0.124809537704155,0.124809537704155,0,1.136262745410028,1.136262745410028,111,1,NA
0.6018930957683741,0.6018930957683741,0,0.14849483441053224,0.14849483441053224,0,0.37364043584944917,0.37364043584944917,112,2,NA
0.8666271487848252,0.8666271487848252,0,0.11979955467316149,0.11979955467316149,0,1.804144384609709,1.804144384609709,113,3,NA
0.7106089139987445,0.7106089139987445,0,0.12818085613083768,0.12818085613083768,0,0.9981646110388178,0.9981646110388178,114,4,NA
0.6601689408706952,0.6601689408706952,0,0.1264228169913947,0.1264228169913947,0,0.8435212725681673,0.8435212725681673,115,5,NA
0.7274436090225564,0.7274436090225564,0,0.11112196561608967,0.11112196561608967,0,1.0910750618152736,1.0910750618152736,116,1,NA
0.806274078150798,0.806274078150798,0,0.10544164863923358,0.10544164863923358,0,1.2965130212867975,1.2965130212867975,117,2,NA
0.7653958944281525,0.7653958944281525,0,0.13469484275427893,0.13469484275427893,0,1.1876383966369972,1.1876383966369972,118,3,NA
0.7851162790697674,0.7851162790697674,0,0.08955716779654535,0.08955716779654535,0,1.4441055621105017,1.4441055621105017,119,4,NA
0.7339901477832512,0.7339901477832512,0,0.1088708604481701,0.1088708604481701,0,0.8245004556326314,0.8245004556326314,120,5,NA
0.726056338028169,0.726056338028169,0,0.11394164653801515,0.11394164653801515,0,0.9236789281403959,0.9236789281403959,121,1,NA
0.7366226546212647,0.7366226546212647,0,0.1411179840029828,0.1411179840029828,0,1.0350292258001177,1.0350292258001177,122,2,NA
0.7498327759197324,0.7498327759197324,0,0.13153301608194276,0.13153301608194276,0,1.2546562565908026,1.2546562565908026,123,3,NA
0.7453183520599251,0.7453183520599251,0,0.127682300397001,0.127682300397001,0,0.7179718506352947,0.7179718506352947,124,4,NA
0.7210095497953615,0.7210095497953615,0,0.12850370319480162,0.12850370319480162,0,0.8746329049298237,0.8746329049298237,125,5,NA
0.6735218508997429,0.6735218508997429,0,0.16928236718572465,0.16928236718572465,0,0.8816733052985428,0.8816733052985428,126,1,NA
0.7404470079307859,0.7101658255227109,-0.03028118240807498,0.10798825277756227,0.10635500540264607,-0.0016332473749161996,0.6598808791209382,0.653618667339768,127,2,ENSG00000065675.15
0.7588495575221239,0.7588495575221239,0,0.08825328966794196,0.08825328966794196,0,1.1533249171705855,1.1533249171705855,128,3,NA
0.6780962128966224,0.6780962128966224,0,0.19094097925455544,0.19094097925455544,0,0.5150730203338649,0.5150730203338649,129,4,NA
0.8176211453744493,0.8176211453744493,0,0.08256990571217464,0.08256990571217464,0,2.1337482762002806,2.1337482762002806,130,5,NA
0.7572540693559802,0.7572540693559802,0,0.11694527764297757,0.11694527764297757,0,0.99333056216379,0.99333056216379,131,1,NA
0.6330275229357798,0.6330275229357798,0,0.15462255329478258,0.15462255329478258,0,0.6104386605158367,0.6104386605158367,132,2,NA
0.7051835853131749,0.7051835853131749,0,0.16356387632876618,0.16356387632876618,0,0.7370537923652088,0.7370537923652088,133,3,NA
0.7850940665701882,0.7850940665701882,0,0.1442610088271748,0.1442610088271748,0,1.2834604161137744,1.2834604161137744,134,4,NA
0.7435697583787997,0.7435697583787997,0,0.1379427258059826,0.1379427258059826,0,0.7849605055998332,0.7849605055998332,135,5,NA
0.7134071340713407,0.7134071340713407,0,0.15258342611380296,0.15258342611380296,0,0.8571844284186384,0.8571844284186384,136,1,NA
0.7407147862648914,0.7407147862648914,0,0.1372330482906327,0.1372330482906327,0,0.7556248806527582,0.7556248806527582,137,2,NA
0.8200000000000001,0.8200000000000001,0,0.11130557035743557,0.11130557035743557,0,1.3542657393320519,1.3542657393320519,138,3,NA
0.6828231292517006,0.6828231292517006,0,0.10529690346064634,0.10529690346064634,0,0.9855008188079245,0.9855008188079245,139,4,NA
0.7108614232209738,0.7108614232209738,0,0.10692287977414872,0.10692287977414872,0,0.8940496314455463,0.8940496314455463,140,5,NA
0.7642585551330798,0.7642585551330798,0,0.12406578787308094,0.12406578787308094,0,1.443063821572996,1.443063821572996,141,1,NA
0.6274509803921569,0.6274509803921569,0,0.13685881195887875,0.13685881195887875,0,0.6757546664932477,0.6757546664932477,142,2,NA
0.6432835820895523,0.6432835820895523,0,0.12596572847879808,0.12596572847879808,0,0.5738026336284507,0.5738026336284507,143,3,NA
0.8424855491329479,0.8424855491329479,0,0.10782178295073051,0.10782178295073051,0,1.439322537892214,1.439322537892214,144,4,NA
0.7465437788018433,0.7465437788018433,0,0.1350701769081526,0.1350701769081526,0,0.955835290814654,0.955835290814654,145,5,NA
0.7486338797814207,0.7486338797814207,0,0.14540203896924242,0.14540203896924242,0,0.9496384670948779,0.9496384670948779,146,1,NA
