scenario,symbol,tcga_log_hr,successful_repeats,n,events,median_log_hr,log_hr_ci_low,log_hr_ci_high,log_hr_sd,same_tcga_direction_fraction,nominal_p_lt_0_05_fraction,patient_median_log_hr,patient_median_hr,patient_median_p_value
full_cohort,LTB4R,0.4152348937982004,1000,73,16,0.19487803992109026,-0.14979716189584727,0.47431524894781524,0.1655968827692644,0.859,0.026,0.20231971205388735,1.2242393496266437,0.44653195859124883
full_cohort,CLCN5,-0.4176541545204886,1000,73,16,-0.0499061909932586,-0.39665144937935537,0.2719773416343217,0.17258392597680616,0.621,0.003,-0.13582815455441952,0.8729926394084548,0.5911423271722551
full_cohort,KL,-0.4143562134600067,1000,73,16,-0.049313682481315194,-0.3427855378467399,0.2438608484952556,0.15607633805987092,0.613,0.003,-0.04413407162047565,0.9568256657055825,0.8630131650241293
full_cohort,PANK1,-0.4732407037257613,1000,73,16,0.020368488946608768,-0.39897228350922465,0.4305857588591229,0.21101436357735137,0.452,0.013,0.005325506312100489,1.005339712027187,0.9842395946875653
full_cohort,TNIP1,-0.414945866298316,1000,73,16,0.08214085514508696,-0.2157179397165924,0.37690070522785696,0.15581145941592095,0.305,0,0.07878054213077579,1.081966849874252,0.7854779781843534
size_matched_39,HHLA2,-0.46651200190082415,1000,39,9,-0.5683137955709231,-1.2398792588571448,-0.05493305776214323,0.30019560598446393,0.984,0.335,-0.6718655507813033,0.5107548493404805,0.010426442728086583
size_matched_39,ACADM,-0.4484141243283115,1000,39,9,-0.8099990771227406,-1.685490852110504,-0.0020918139057714527,0.43209531793781936,0.975,0.612,-0.8777873990442611,0.4157016768038603,4.636648465345258e-4
size_matched_39,PODXL,-0.41295393620776416,1000,39,9,-0.46074561557184407,-1.008179696204872,0.00124478871792986,0.2575825268177772,0.973,0.278,-0.466034647060053,0.6274855431414181,0.04302718477807594
size_matched_39,CADPS2,-0.41010601450174866,1000,39,9,-0.3983903113557449,-0.8480574081536595,0.050973217280003376,0.23816968613370826,0.955,0.213,-0.4547891880642231,0.6345817312514561,0.035654605429475864
size_matched_39,KNTC1,0.41317926152804135,1000,39,9,0.5005298849517154,-0.08002190476388193,1.092945800116688,0.30219099811682,0.947,0.311,0.5172255545177693,1.6773674234463876,0.03391307737592904
size_matched_39,TCIRG1,0.4257531411377312,1000,39,9,0.6301901664818284,-0.21917987212045675,1.3082897668755906,0.375592329845099,0.944,0.374,0.7755562267595255,2.1717998044486664,0.005493771663056814
size_matched_39,HIBCH,-0.4099623749107515,1000,39,9,-0.6758288620815841,-1.5023339178706585,0.12135044362518822,0.4274617068546003,0.943,0.372,-0.8283859715949603,0.4367536505346687,0.006777069248399987
size_matched_39,GRAMD1A,0.4057580580941821,1000,39,9,0.5999847473515041,-0.16088836224265754,1.3194775639739238,0.383330295772349,0.937,0.376,0.7096438112174847,2.0332669027880605,0.007317544528592812
size_matched_39,LRBA,-0.42337150345977026,1000,39,9,-0.4175552370467903,-1.121145862252273,0.23049734920695455,0.3391861662032656,0.888,0.184,-0.5742907414635344,0.563104113605822,0.033335329231028166
size_matched_39,C1QTNF6,0.43509983532112984,1000,39,9,0.4121884899978121,-0.24698451474248687,1.134403052969916,0.3555534979721424,0.886,0.185,0.47390463711874053,1.606253802732866,0.06302623592368108
