repeat_id,symbol,oob_n,oob_events,clinical_c_index,clinical_gene_c_index,delta_c_index
52,DBT,207,68,0.7496706192358367,0.7291891244460414,-0.020481494789795218
53,CRYL1,181,57,0.7729624838292367,0.8019081500646831,0.028945666235446366
54,CRYL1,187,69,0.7167475108501404,0.7447025785039572,0.027955067653816723
54,KL,187,69,0.7167475108501404,0.7167475108501404,0
54,IQGAP2,187,69,0.7167475108501404,0.7175134031146285,7.658922644880883e-4
54,ACADM,187,69,0.7167475108501404,0.7311718151646669,0.01442430431452646
54,CLCN5,187,69,0.7167475108501404,0.7402348736277764,0.023487362777635967
54,TEK,187,69,0.7167475108501404,0.7107480214449834,-0.0059994894051570435
54,EMCN,187,69,0.7167475108501404,0.7035996936430942,-0.013147817207046275
54,HIBCH,187,69,0.7167475108501404,0.7131733469491959,-0.0035741639009445603
54,TCIRG1,187,69,0.7167475108501404,0.7194281337758488,0.0026806229257083647
54,PODXL,187,69,0.7167475108501404,0.7112586162879755,-0.005488894562164948
54,LRBA,187,69,0.7167475108501404,0.7149604288996682,-0.0017870819504722801
54,GRAMD1A,187,69,0.7167475108501404,0.7180239979576206,0.0012764871074801842
55,CYFIP2,182,58,0.7651558891454966,0.7883949191685913,0.023239030023094687
55,CRYL1,182,58,0.7651558891454966,0.7870958429561201,0.021939953810623525
55,DDC,182,58,0.7651558891454966,0.7748267898383372,0.0096709006928406
55,KL,182,58,0.7651558891454966,0.7645785219399538,-5.773672055428003e-4
55,PANK1,182,58,0.7651558891454966,0.7943129330254042,0.029157043879907585
55,IQGAP2,182,58,0.7651558891454966,0.788972286374134,0.023816397228637376
55,ACADM,182,58,0.7651558891454966,0.7772806004618937,0.012124711316397141
55,FUT6,182,58,0.7651558891454966,0.7576501154734412,-0.007505773672055405
55,CLCN5,182,58,0.7651558891454966,0.7785796766743649,0.013423787528868303
55,CADPS2,182,58,0.7651558891454966,0.7751154734411085,0.009959584295611945
55,TEK,182,58,0.7651558891454966,0.7634237875288683,-0.0017321016166282899
55,EMCN,182,58,0.7651558891454966,0.7676096997690531,0.0024538106235565404
55,HIBCH,182,58,0.7651558891454966,0.7710739030023095,0.005918013856812898
55,TCIRG1,182,58,0.7651558891454966,0.7781466512702079,0.012990762124711286
55,PODXL,182,58,0.7651558891454966,0.7622690531177829,-0.0028868360277136684
55,LRBA,182,58,0.7651558891454966,0.7814665127020786,0.01631062355658197
55,GRAMD1A,182,58,0.7651558891454966,0.7820438799076213,0.01688799076212466
55,IFFO1,182,58,0.7651558891454966,0.7823325635103926,0.017176674364896005
55,ACAT1,182,58,0.7651558891454966,0.7755484988452657,0.010392609699769073
55,DBT,182,58,0.7651558891454966,0.7622690531177829,-0.0028868360277136684
56,EMCN,183,66,0.7908541609447954,0.7765723702279593,-0.014281790716836107
56,PODXL,183,66,0.7908541609447954,0.790442186212579,-4.1197473221643577e-4
57,CYFIP2,189,60,0.8141756988020536,0.830718767826583,0.0165430690245294
57,C1QTNF6,189,60,0.8141756988020536,0.7976326297775242,-0.0165430690245294
57,TEK,189,60,0.8141756988020536,0.8304335424985738,0.01625784369652017
57,EMCN,189,60,0.8141756988020536,0.8170279520821448,0.0028522532800911993
57,HIBCH,189,60,0.8141756988020536,0.801625784369652,-0.01254991443240161
57,TCIRG1,189,60,0.8141756988020536,0.8067598402738163,-0.00741585852823734
57,PODXL,189,60,0.8141756988020536,0.8305761551625784,0.016400456360524784
57,GRAMD1A,189,60,0.8141756988020536,0.814033086138049,-1.4261266400461547e-4
57,DBT,189,60,0.8141756988020536,0.8088990302338848,-0.005276668568168885
57,TNFAIP2,189,60,0.8141756988020536,0.8060467769537936,-0.008128921848260084
59,CYFIP2,192,65,0.7476400251730648,0.7602265575833858,0.012586532410320928
59,CRYL1,192,65,0.7476400251730648,0.7685336689741976,0.02089364380113279
59,DDC,192,65,0.7476400251730648,0.7721837633731907,0.024543738200125897
59,KL,192,65,0.7476400251730648,0.7616110761485211,0.013971050975456256
59,PANK1,192,65,0.7476400251730648,0.7686595342983008,0.02101950912523598
59,IQGAP2,192,65,0.7476400251730648,0.756702328508496,0.009062303335431121
59,ACADM,192,65,0.7476400251730648,0.7515418502202643,0.003901825047199492
59,CADPS2,192,65,0.7476400251730648,0.7521711768407804,0.0045311516677155605
59,HIBCH,192,65,0.7476400251730648,0.760352422907489,0.012712397734424119
59,TCIRG1,192,65,0.7476400251730648,0.7486469477658905,0.0010069225928256431
59,LRBA,192,65,0.7476400251730648,0.7551919446192574,0.007551919446192601
59,GRAMD1A,192,65,0.7476400251730648,0.7632473253618628,0.015607300188797968
59,IFFO1,192,65,0.7476400251730648,0.7496538703587161,0.0020138451856512862
59,ACAT1,192,65,0.7476400251730648,0.7668974197608559,0.019257394587791077
59,DBT,192,65,0.7476400251730648,0.7424795468848332,-0.005160478288231629
