draw,delta_c
430,-0.0036561946490164974
431,0.01055536211699164
432,-0.006868705534509856
433,0.005314442515540118
434,-1.79942632150909e-4
435,0.00566762553253467
436,-0.004154128309681126
437,0.006260702787862194
438,0.01037333126358272
439,0.010637207448322972
440,-0.004296044236495123
441,0.012454943004043706
442,0.016037360890302065
443,0.0013226136424815515
444,-4.931860165208523e-4
445,-0.004347456474428723
446,0.0036028237828687913
447,0.004193413605803909
448,-0.004313561926504794
449,-3.562207915291271e-4
450,0.005268215802725384
451,0.016379267256460262
452,0.0029331683168316914
453,0.01197561706805238
454,0.001701808056568166
455,-0.003034700315457406
456,0.008955779978429269
457,0.011611971184819315
458,-0.003258756647716854
459,6.0293016378965e-4
460,-0.008772297207256918
461,0.009986546822905496
462,0.006728554237579498
463,0.006806550665301958
464,0.0033816603564502555
465,0.002620928200830852
466,0.004488753560553971
467,0.0077780525384717695
468,0.01091712242322257
469,-0.0026286688058592246
470,-1.462979482604654e-4
471,0.006298742562246074
472,-0.0023155300522327837
473,0.00456865747830526
474,2.3999861871295546e-4
475,-0.0070757973215518025
476,0.01011271820448878
477,-1.568627450980298e-4
478,0.0038567694529236364
479,0.0021452114135040888
480,0.0025722704467627698
481,0.0034717445606922024
482,0.002811686645404876
483,0.0077955825032481555
484,0.0077672978109383
485,-8.989769560884487e-4
486,-0.007258296221807237
487,0.0038178187827044964
488,-0.005227117554921878
489,0.011745753750578292
490,0.00539830608361822
491,0.0050843999258022524
492,0.014767780763844196
493,0.007163482457181303
494,0.0041231366766762865
495,0.011145007792552319
496,0.0029431438127090147
497,0.0027440894252646507
498,-0.003740758521363441
499,0.005239963662369296
500,0.0011350093638272773
501,0.01404207324367277
502,0.006542503340046668
503,-7.028941621244789e-4
504,0.005243418809553713
505,0.008230190563082029
506,0.004859349671021274
507,0.018176960677603847
508,-0.0019435651972516065
509,0.0014679427214506768
510,0.003140390827728645
511,-0.0060052963260928014
512,0.0033878321018707912
513,4.723989485313718e-4
514,0.007982184424201311
515,0.004317363463823909
516,-2.5104434447299485e-4
517,0.01543148784226971
518,0.009218374350786407
519,0.026051549955825294
520,-0.006133267277681454
521,0.007258159538117126
522,-0.003744966204828859
523,-0.004451957295373665
524,0.01570268274673885
525,0.0033753367515425457
526,0.009336859235150518
527,0.001171600013408891
528,0.005210810025954226
529,0.004583217945167551
530,-9.370474486757319e-5
531,0.0013795613795614004
532,-0.0020792947946211672
533,0.002330894917727466
534,0.010230084944150886
535,0.0028502609393817545
536,0.0030221945654428373
537,-0.006946001314212813
538,-0.006641857454898481
539,0.008445684456844571
540,-0.007797977436137249
541,0.007859760433189311
542,-0.002852987434678933
543,0.013736321218588487
544,0.007850170423113312
545,0.010095927956147232
546,0.002454947030999588
547,0.005072259658093747
548,-0.002512724350388429
549,-0.002971758004186531
550,0.005916428516258609
551,-0.007700006004683646
552,0.0022828974968535755
553,0.012801537549620124
554,0.012420588871624427
555,0.006019536643993217
556,-0.012192700624526164
557,0.0020143499237144534
558,0.0073716156856481144
559,-0.008468468468468437
560,0.0022689047917422434
561,0.0036821667609811424
562,0.00855272578500561
563,-0.0027463682383289
564,-0.0011515328066898478
565,0.0013186640162175856
566,0.00880098419608213
567,0.00370850291095578
568,0.0017048337448837825
569,-0.0034811332740439793
570,0.008465890051840019
571,0.0028106996683025407
572,0.016207779453544225
573,0.007120448300482496
574,0.001953977024865483
575,-0.0034854181485621583
576,0.004963861502135869
577,0.0029542363389071123
578,0.0041698098974049524
579,-0.005998380805181424
580,7.761405720589587e-4
581,0.017153856874085438
582,0.00226964036141023
583,0.0056014578285809025
584,1.4672168729942258e-4
585,0.013919453049887853
586,0.013143618070625395
587,0.003939753812512959
588,0.0024242646519475053
589,0.010269321736476678
590,0.013858685836072682
591,0.011718124226316162
592,-6.647730706472399e-4
593,0.0023514764677000644
594,0.0014541799296364567
595,-0.0068500864027338125
596,0.010657333049835604
597,-3.385638405709046e-4
598,-0.002570704039954319
599,0.010029537875178674
600,-0.009467241247807168
601,0.009622830137235338
602,-0.003244890006730694
603,0.00272741360607468
604,0.013032269227441818
605,3.719569532964373e-4
606,-0.00652410166520595
607,-0.007675675675675675
608,-0.010770820200322195
609,-0.005199462124607757
610,0.003999362651370286
611,0.003462573406217739
612,0.0070102971692572735
613,0.011844905827075213
614,0.006781310229973259
615,-0.008261717195830364
616,0.004777176690338125
617,0.0010547455110031078
618,0.011124233732635946
619,0.003707308886464722
620,-0.003461321287408259
621,0.010092670907954283
622,-0.0017565141443058984
623,0.002485488332229502
624,-0.00260521408461003
625,0.00924889239962905
626,0.008454731570309437
627,0.009118819976306092
628,0.015173704336506355
629,0.00139013118664284
630,0.008878244036877814
631,0.009625668449197855
632,4.105352953721386e-4
633,-0.0018655306283711815
634,0.006433791391307375
635,0.010185017560375053
636,-0.0013507966715176401
637,-0.0034097600820621856
638,0.005334345321500844
639,0.003093145184867541
640,-0.0034619954632196916
641,-0.006463595839524527
642,0.005276552721948125
643,5.88585523517915e-4
644,-0.005177712694796976
645,-0.002321370616469931
646,0.013264173873223272
647,0.015976801748902415
648,0.00824667472793228
649,-0.0041722068494627566
650,0.007666267282858829
651,0.014271403394861371
652,-5.39833690987146e-4
653,0.0020405732661082253
654,-0.005942859340152251
655,0.005506012950971339
656,0.006074739775894389
657,-0.0038919294587785648
658,0.0022598463448424643
659,-0.008079001168224308
660,0.018188323364280203
661,0.0013437571679792205
662,0.010364325056268187
663,0.01994432292702325
664,-0.003035063222403245
665,0.009182465533883332
666,-0.013250005199342807
667,0.011058845062688793
668,0.0018575605415369068
669,-6.953306501750634e-4
670,0.0034127149195784636
671,-0.010648986833504515
672,0.0025009440763500202
673,0.00625331537927939
674,-3.368341771622485e-4
675,-4.45406742963228e-4
676,0.0019844043108838915
677,0.005759694623809331
678,-0.002535139185904123
679,0.01663005901789638
680,-0.005697170767671178
681,0.015741506239911794
682,-0.005497987047085573
683,0.007712442061256064
684,-0.013041800643086809
685,0.007379923948757705
686,0.0034388567293777263
687,0.01002504459379111
688,0.0019097319641621425
689,0.01619782393669633
690,0.007613655728703183
691,-0.0011629973343864064
692,0.010142981427544707
693,-0.0010280391525776754
694,-5.583943528420065e-4
695,-0.007161234991423704
696,0.004207775919732449
697,0.01077227427121048
698,0.007067866189186822
699,-0.007408072715514935
700,-0.00296060634415648
701,0.0011797600793722386
702,0.0021815333398609417
703,0.012115082446856551
704,0.0030261693649710876
705,0.010958744690342737
706,-0.00758609899673397
707,0.011882529193260416
708,0.005847824894399034
709,0.005901731927710841
710,-0.00918407420567392
711,0.017472190257000374
712,0.010876328229162457
713,0.003074254783868258
714,0.0018991260014566413
715,-5.588592112328427e-4
716,0.007217424409401496
717,-0.005394797057063394
718,-0.002352687601551884
719,0.0032358994093730775
720,0.009065558633425674
721,0.009820576624445743
722,0.0029920225246363287
723,-0.00442222431846051
724,-3.154927474004365e-4
725,0.014660532933081227
726,-0.009840040469586763
727,0.007432704632851128
728,-0.003944777099206265
729,0.005717088338176257
730,0.010376411039247968
731,1.3359161044701473e-5
732,0.00713490832801239
733,-0.0013864662194968402
734,0.011159474140524117
735,0.011287695657391706
736,0.017952679685027638
737,0.004506532001317365
738,0.009162264987256696
739,0.002697187744518925
740,0.0069547930101239944
741,9.088811176397371e-4
742,-3.843711927518534e-4
743,0.0057595276435855715
744,0.007473275212155195
745,0.009459305418344843
746,0.0013092863955605715
747,0.0023796558483990095
748,0.00308835547446642
749,0.003399285425374099
750,0.00712058301603985
751,0.003468901384756784
752,0.013544157067304208
753,0.008958314895123488
754,0.0016751258433067907
755,-6.740704973442702e-4
756,-0.005678681284012932
757,0.004026845637583864
758,0.005705209884962581
759,0.003116065350578645
