repeat_id,symbol,n_tested,clinical_c_index,clinical_gene_c_index,delta_c_index
12,TCIRG1,517,0.7426573426573426,0.759054103790946,0.016396761133603333
12,PODXL,517,0.7426573426573426,0.7610415899889584,0.01838424733161581
12,LRBA,517,0.7426573426573426,0.7534781008465219,0.01082075818917927
12,GRAMD1A,517,0.7426573426573426,0.7529444239970555,0.0102870813397129
12,IFFO1,517,0.7426573426573426,0.7560912771439088,0.013433934486566157
12,ACAT1,517,0.7426573426573426,0.7570666175929334,0.014409274935590743
12,DBT,517,0.7426573426573426,0.7510857563489142,0.008428413691571546
12,TNFAIP2,517,0.7426573426573426,0.7567353698932646,0.014078027235921997
12,FHOD1,517,0.7426573426573426,0.7468163415531837,0.004158998895841037
13,CYFIP2,517,0.7496687523003313,0.7711262421788738,0.02145748987854257
13,CRYL1,517,0.7496687523003313,0.7728376886271623,0.023168936326831036
13,HHLA2,517,0.7496687523003313,0.770426941479573,0.02075818917924177
13,DDC,517,0.7496687523003313,0.765863084284137,0.01619433198380571
13,KL,517,0.7496687523003313,0.7644460802355539,0.014777327935222684
13,PANK1,517,0.7496687523003313,0.7749355907250643,0.025266838424733096
13,IQGAP2,517,0.7496687523003313,0.7625322046374678,0.012863452337136594
13,ACADM,517,0.7496687523003313,0.7661575266838425,0.016488774383511262
13,FUT6,517,0.7496687523003313,0.7653294074346706,0.01566065513433934
13,CLCN5,517,0.7496687523003313,0.7693595877806404,0.019690835480309143
13,C1QTNF6,517,0.7496687523003313,0.7655134339344866,0.01584468163415531
13,CADPS2,517,0.7496687523003313,0.7582627898417372,0.008594037541405974
13,TEK,517,0.7496687523003313,0.7631947000368053,0.013525947736474087
13,EMCN,517,0.7496687523003313,0.7604343025395657,0.010765550239234423
13,HIBCH,517,0.7496687523003313,0.7633603238866397,0.013691571586308404
13,TCIRG1,517,0.7496687523003313,0.7649613544350387,0.0152926021347074
13,PODXL,517,0.7496687523003313,0.7623113728376887,0.01264262053735743
13,LRBA,517,0.7496687523003313,0.7624217887375782,0.0127530364372469
13,GRAMD1A,517,0.7496687523003313,0.7632867132867133,0.013617960986382016
13,IFFO1,517,0.7496687523003313,0.763525947736474,0.013857195436142722
13,ACAT1,517,0.7496687523003313,0.7613912403386087,0.011722488038277468
13,DBT,517,0.7496687523003313,0.7519690835480309,0.002300331247699683
13,TNFAIP2,517,0.7496687523003313,0.7633787265366212,0.013709974236289946
13,FHOD1,517,0.7496687523003313,0.7568457857931542,0.0071770334928229484
14,CYFIP2,517,0.7397129186602871,0.758225984541774,0.018513065881486934
14,CRYL1,517,0.7397129186602871,0.760691939639308,0.020979020979020935
14,HHLA2,517,0.7397129186602871,0.7552999631947,0.015587044534412953
14,DDC,517,0.7397129186602871,0.7503680529996319,0.01065513433934484
14,KL,517,0.7397129186602871,0.7491534781008465,0.009440559440559437
14,PANK1,517,0.7397129186602871,0.7578579315421421,0.018145012881854994
14,IQGAP2,517,0.7397129186602871,0.752834008097166,0.013121089436878952
14,ACADM,517,0.7397129186602871,0.7511961722488039,0.011483253588516762
14,FUT6,517,0.7397129186602871,0.751509017298491,0.011796098638203856
14,CLCN5,517,0.7397129186602871,0.752741994847258,0.013029076186970912
14,C1QTNF6,517,0.7397129186602871,0.750956937799043,0.011244019138755945
14,CADPS2,517,0.7397129186602871,0.7462274567537726,0.006514538093485456
14,TEK,517,0.7397129186602871,0.7466875230033125,0.006974604343025437
14,EMCN,517,0.7397129186602871,0.7433566433566434,0.003643724696356321
14,HIBCH,517,0.7397129186602871,0.7475524475524475,0.007839528892160441
14,TCIRG1,517,0.7397129186602871,0.7507913139492086,0.011078395288921516
14,PODXL,517,0.7397129186602871,0.7468347442031653,0.007121825542878213
14,LRBA,517,0.7397129186602871,0.7436142804563857,0.003901361796098568
14,GRAMD1A,517,0.7397129186602871,0.7489878542510121,0.009274935590725009
14,IFFO1,517,0.7397129186602871,0.7448472580051527,0.005134339344865624
14,ACAT1,517,0.7397129186602871,0.7480861244019139,0.00837320574162681
14,DBT,517,0.7397129186602871,0.7397865292602135,7.361059992638808e-5
14,TNFAIP2,517,0.7397129186602871,0.7462274567537726,0.006514538093485456
14,FHOD1,517,0.7397129186602871,0.740909090909091,0.0011961722488038617
15,CYFIP2,517,0.751324990798675,0.7714390872285609,0.02011409642988593
15,CRYL1,517,0.751324990798675,0.7702981229297019,0.018973132131026915
15,HHLA2,517,0.751324990798675,0.768145012881855,0.01682002208318001
15,DDC,517,0.751324990798675,0.7608575634891425,0.009532572690467478
