endpoint,model,symbol,n,events,interaction_log_hr,interaction_hr,interaction_hr_ci_low,interaction_hr_ci_high,interaction_p_value,interaction_ph_p_value,nivolumab_log_hr,nivolumab_p_value,everolimus_log_hr,everolimus_p_value,interaction_fdr,manuscript_role
OS,age_sex_mskcc_adjusted,TNIP1,248,189,-0.04496101526967091,0.9560347518636008,0.7067324674747545,1.2932792659671408,0.7705485868452423,0.7250267807928183,-0.13299802363637908,0.2188728223963064,-0.008238347268133805,0.9364319363908404,0.8439341665447893,candidate prognostic association requiring validation
OS,age_sex_mskcc_adjusted,RBM47,248,189,-0.03608267975517309,0.9645605405568494,0.7055259872332392,1.3186998824066687,0.8210919920961854,0.8033619039326365,-0.11142019489268475,0.31989956297603095,-0.09822231028802211,0.365782499541737,0.8584143553732847,RNA-binding and immune-composition-sensitive association
OS,age_sex_mskcc_adjusted,TNFAIP2,248,189,0.01269941817023601,1.0127803982179102,0.7366108372214447,1.392491235784071,0.9376891614996614,0.5365767924908662,0.08050818628506803,0.5026537588339788,-0.013899767978008348,0.8895258287187205,0.9376891614996614,non-specific inflammatory signal
OS,randomized_unadjusted,KL,250,191,-0.30460913967100833,0.7374115429894177,0.5577586154762914,0.9749303168892927,0.03250195553280435,0.6091672855709273,-0.2568906438918717,0.010599520371924335,0.044452524581973574,0.6636692207702166,0.28061886571654054,renal epithelial/metabolic retention
OS,randomized_unadjusted,TMEM140,250,191,-0.32081715472000255,0.7255559033346431,0.5373291095095214,0.9797186855264198,0.03628828751994643,0.886409394766492,-0.2487697893192949,0.037146197371252604,0.05901041770224215,0.5315265188900737,0.28061886571654054,candidate prognostic association requiring validation
OS,randomized_unadjusted,ACADM,250,191,-0.2929977824652146,0.7460237950291034,0.5589512019961735,0.9957067822057134,0.046682049564824274,0.4602026848418569,-0.3302608357591946,0.0035603564676671712,-0.0289707987150283,0.7622081412742463,0.28061886571654054,fatty-acid oxidation and mitochondrial metabolism
OS,randomized_unadjusted,PODXL,250,191,-0.2604116059382423,0.770734281698765,0.5931594824295285,1.0014698417238679,0.051298830998657625,0.12783112375686975,-0.2546908817736962,0.013544996521159652,-0.006389137794133615,0.941056630926354,0.28061886571654054,podocyte/endothelial/renal compartment signal
OS,randomized_unadjusted,CYFIP2,250,191,-0.2825260760890077,0.753876983539691,0.5609651855761814,1.0131297287676724,0.061004101242726205,0.2674591814670557,-0.25235277122244326,0.028904099328186512,0.018836278050863638,0.8473827872679789,0.28061886571654054,cytoskeletal and broad tumor-suppressor-like signal
OS,randomized_unadjusted,TCIRG1,250,191,0.2715903757058145,1.3120494438929446,0.9747306921036101,1.766101916319671,0.0732662831169676,0.33808877327389186,0.32469541611467984,0.0023713008573010216,0.045550211461651086,0.6723417400257252,0.28085408528170913,"lysosomal acidification, glycolytic/immune risk"
OS,randomized_unadjusted,HHLA2,250,191,-0.19981163567108184,0.81888498727250425,0.6252177078147249,1.0725425943613947,0.14669694341139353,0.7757446442672126,-0.1418092910356342,0.1451718787129539,0.047334623892134726,0.6272977318946951,0.48200424263743585,immune-checkpoint paradox
OS,randomized_unadjusted,CADPS2,250,191,-0.18843610428360996,0.8282534235937915,0.6237305749528693,1.0998398366901811,0.19282008760638286,0.06369751252974766,-0.14174777612990108,0.1542599674026213,0.055436228652971015,0.5990733148013515,0.546762208871521,weak ccRCC-specific biological support
OS,randomized_unadjusted,CRYL1,250,191,-0.19321606823019435,0.8243038490224112,0.6077848340449817,1.1179562197876005,0.2139504295584213,0.48227845029209854,-0.24227937830710372,0.051478566111308306,-0.04850855982357983,0.6062904264347442,0.546762208871521,renal metabolic differentiation
OS,randomized_unadjusted,C1QTNF6,250,191,0.18680376302891014,1.2053907196154445,0.8732263276675869,1.6639062988583453,0.25605675203286105,0.5231332550376897,0.16542288584942105,0.1500311712659171,-0.020123968674404313,0.8659517461886915,0.5839581952631194,secreted inflammatory/metabolic risk
OS,randomized_unadjusted,DDC,250,191,-0.14230370505677942,0.867357795532187,0.6635209219212543,1.1338143540253551,0.29781420589367874,0.21897594810345655,-0.1804955563724616,0.07973081198150161,-0.05016608463161509,0.5785734272710745,0.5839581952631194,amino-acid and biogenic-amine metabolism
OS,randomized_unadjusted,KNTC1,250,191,0.14964550504792085,1.1614224513473785,0.8727614045114819,1.545556555916661,0.3046738410068449,0.07015816243427327,0.19360008031816614,0.08772071844567866,0.053947480833697284,0.5558315097440263,0.5839581952631194,candidate prognostic association requiring validation
OS,randomized_unadjusted,TNIP1,250,191,-0.1296288756393588,0.8784213740049119,0.6561144104999433,1.1760511550427897,0.3839080407185826,0.8580168817798379,-0.13157067638325964,0.22139642979422372,-0.0061515815986853,0.9523230450289457,0.6792219181944154,candidate prognostic association requiring validation
OS,randomized_unadjusted,GRAMD1A,250,191,0.09508856178484365,1.0997562471895759,0.824867525485732,1.4662521748814077,0.5170035679538573,0.15230758115251866,0.11316972531730446,0.24322318947218924,0.012253413273280955,0.9120447798088968,0.8028704882497327,cholesterol-contact-site biology
OS,randomized_unadjusted,TNFAIP2,250,191,0.08781864321350628,1.0917901005283113,0.8057988946696775,1.479284262483707,0.5709357442146694,0.31378958403560436,0.09176232765114486,0.4429874381763025,-0.006526069151338616,0.9478013188589366,0.8028704882497327,non-specific inflammatory signal
OS,randomized_unadjusted,IFFO1,250,191,0.08354890746021487,1.0871383831699368,0.8023499362146861,1.473010479364093,0.5898265164893062,0.05520287788135718,0.06358629298363391,0.5792623186944411,-0.03215236115825943,0.758679051257894,0.8028704882497327,weak ccRCC-specific biological support
OS,randomized_unadjusted,PANK1,250,191,-0.07925981062046902,0.9237998802433454,0.6905705381274464,1.2357987658316827,0.5934260130541502,0.9410846034650203,-0.14049683694843404,0.20111829130049302,-0.055265546327662514,0.5786021291341771,0.8028704882497327,CoA metabolism and mitochondrial function
OS,randomized_unadjusted,CLCN5,250,191,-0.06441444958406944,0.9376163242975268,0.7159065813028409,1.2279875538919234,0.6398170713968016,0.4860891978606307,-0.1330928770135617,0.20189558755251388,-0.06474939580335236,0.47436938132457407,0.8175440356736908,proximal-tubule endosomal/metabolic differentiation
OS,randomized_unadjusted,LRBA,250,191,-0.04933524728955634,0.9518619670578011,0.7198430978275628,1.2586648494172088,0.7292687761558085,0.6541162212397429,-0.11947919688007283,0.21071126225695813,-0.07325005257864005,0.4944607795998273,0.8827990448201892,immune-composition signal
