path,bytes,md5,provenance
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/12e9affd-cc06-49d9-b485-47e7034be973/fb7d8768-9749-4d8d-a50b-384c5a726b57.rna_seq.augmented_star_gene_counts.tsv,4247777,eec99ac71f0312fbef8c6988606b232f,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/12eadc69-863d-46fe-bb19-f8b38b05471b/ec23954c-4aca-41e5-b1ee-0c1bde8d63ed.rna_seq.augmented_star_gene_counts.tsv,4248726,84d476af1deb7abc2aee8a9bf2ae027f,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1317fb5d-608b-4c79-8198-f2ec68766224/1ad08c93-155b-4db8-9b88-a4e60cad9022.rna_seq.augmented_star_gene_counts.tsv,4226090,a8bb3e65e33fdc6fb9369f2f8d36f6df,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/131cc059-cc0f-43df-a19e-5f854a769181/af4b5ee7-1229-4209-b1a5-dd96682f8293.rna_seq.augmented_star_gene_counts.tsv,4263556,3f72bcea95374bda4ca90819fa77814b,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/134f1661-5f67-4184-bab4-bc9c6f80c789/5d56bce7-d006-4a7c-aeb3-c99302c41b23.rna_seq.augmented_star_gene_counts.tsv,4199656,b1989d578c0b876c1285f4f56e374ca6,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/13b48a2d-dde2-4cd1-b26d-22621a002f5b/5a1b700e-a479-498a-87f5-e53f59e01a44.rna_seq.augmented_star_gene_counts.tsv,4226962,382113d36656c25024fd6d69e246f130,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/152893a4-2d02-4941-bbe9-eb038cce9ef2/9de0347a-a669-400d-93f7-d471527e05fc.rna_seq.augmented_star_gene_counts.tsv,4240819,00d5b55c47a76c9ba2cfdaffdfbf987b,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/158ed2cd-7be5-4191-89b6-0d034a6426c1/84c9a188-9500-4f03-b0be-c0bdf5b2d19d.rna_seq.augmented_star_gene_counts.tsv,4234602,ba7d12cc724267a38c8b990d06cbf994,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/160f9fb3-e1e0-4f32-ab86-9555e838a0a0/b0e4b742-75f5-4270-9180-8c55f1cdbef5.rna_seq.augmented_star_gene_counts.tsv,4249555,f7ee091a5d06cd76b85edb84d8123c04,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/16349fe9-a2c9-4577-8b34-6761dd22ee61/ef92fd44-a351-4d89-b39f-3e56f54ea86f.rna_seq.augmented_star_gene_counts.tsv,4246620,81feb4f6bbee1aa479597bf0ebeabe51,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/164a6eaa-7f88-4687-a7e1-b907c468766e/4b04816b-80fa-410b-95d7-9b1f815b59e7.rna_seq.augmented_star_gene_counts.tsv,4254810,51c32ad60fd5d7e0cd5e2d6f06791a5b,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/16574f32-3388-42a3-a5ca-9248e75fd522/5c14dcc2-dc8b-4cb5-8e3c-2069022da488.rna_seq.augmented_star_gene_counts.tsv,4223595,93db686d3313b497536369616d0d5913,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/17a7a252-7530-4f12-8cd8-50a049a1e653/97ed0f9c-f670-4da8-92d6-163ad4088402.rna_seq.augmented_star_gene_counts.tsv,4236629,253781ba8dfac68cf8a7656f493f66c6,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/18913801-b38a-4439-8b34-25a7138e8fdd/c2fc96b4-551d-46ff-bd1d-65e1a8c5df2a.rna_seq.augmented_star_gene_counts.tsv,4243944,7a1f74fb303d23633f7eec3fffc4bc70,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/19062abb-b733-43e2-a9f2-81bca6d65a1e/04b616ae-93cd-46c3-9bd5-7f0c9151afd5.rna_seq.augmented_star_gene_counts.tsv,4240708,d74f98dd3fb9cb7337a314d5ee80c5fc,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/192e08f8-1c39-462a-8762-7e2c7f4d5eb0/28be9b76-f97a-467d-a4dd-0b511523dde4.rna_seq.augmented_star_gene_counts.tsv,4240522,75854084f2ab92211fe98cb91c9741fe,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1a106eaf-ff8d-43eb-8720-8be7ba8d9888/40b404b9-cc48-4c9f-8206-61fc10e5674a.rna_seq.augmented_star_gene_counts.tsv,4233101,b60af1d7099a1e9ebf044a0c0c99461c,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1a351079-31b5-4080-a03d-62ea7065d7a8/392b3f33-b57d-4751-a01c-4d6748106917.rna_seq.augmented_star_gene_counts.tsv,4240117,52f429b0f3a6e43ad932ef5395f14424,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1a9ee264-40bf-4a12-bcee-bd0f989e0798/7394e752-6d32-4f9a-b97b-f3c94820e542.rna_seq.augmented_star_gene_counts.tsv,4257538,050ad1b159f4a9ea181e9c453cb48494,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1b242926-e8c1-4f9b-88fa-40211585207e/98967392-eeb4-4c7f-8578-1faf0e5dc3d6.rna_seq.augmented_star_gene_counts.tsv,4211495,269f500b985c0449416a3a70f8f5eb12,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1b70671f-61a5-4a23-ab6b-2120e80d1698/6e57f7b0-a3c6-4d46-ae9d-44d6a26a82a5.rna_seq.augmented_star_gene_counts.tsv,4241717,53f16b867ef4f1383773d61f133f5f21,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1bce44b6-268e-4858-8b49-747045752331/3daeeb64-4231-46a8-b950-360fbdd908f3.rna_seq.augmented_star_gene_counts.tsv,4242156,11fec7e771e59556f054610f83017aed,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1bd902eb-9e76-406a-bfe9-b0b5861bcdfb/e238e3a1-0301-4e93-9082-4422519763b6.rna_seq.augmented_star_gene_counts.tsv,4248589,d3b0dddeede485b6dc3332a4d974b1ba,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1be72033-3da7-4266-9b58-2fff2dbaa48b/eedd5d50-066a-41d4-a0ba-4348ea680bf2.rna_seq.augmented_star_gene_counts.tsv,4231976,f47050d9977f53c521a98e2f97cf4193,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1c38241a-2cdc-4b93-8845-87182a998ef4/f82540cb-5394-454c-b97a-23e36e7ebe07.rna_seq.augmented_star_gene_counts.tsv,4243079,d49acec2dc2de45a61b41aabcfa4c168,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1c5ca894-35e2-40f0-9d1a-38d25f6d6d78/ffce7349-cdf4-48b0-9238-da324d638e95.rna_seq.augmented_star_gene_counts.tsv,4247137,572ebb987b219095497086a530224322,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1d4c5088-5f7a-4ac9-8a04-46288af80215/fe5832d5-4e3e-4f0a-b31d-1c3f97fa821f.rna_seq.augmented_star_gene_counts.tsv,4228696,60cadecf3571f2fdcdae72d60b6b4c06,cached public input; original retrieval date unknown
