symbol,tier,pathway_class,main_hr,main_hr_ci_low,main_hr_ci_high,main_log_hr,main_fdr,main_ph_p_value,main_n,main_events,ph_diagnostic_p_ge_0_05,main_warning_count,main_warning_text,stage_complete_log_hr,stage_complete_p_value,grade_complete_log_hr,grade_complete_p_value,sensitivity_pass
SLC13A1,strict_only,Unclassified,0.6969970565747365,0.599785395337148,0.8099645317318347,-0.3609740912222998,5.821712992403625e-5,0.5966439059407979,517,170,TRUE,0,NA,-0.362745090627987,1.6741162040659133e-6,-0.37355463489182833,5.22130517416941e-7,TRUE
SHMT1,strict_only,Unclassified,0.7068422655006766,0.6116646069982026,0.816829979341272,-0.34694774193639394,5.906926442798521e-5,0.1428484935096982,517,170,TRUE,0,NA,-0.3299393987607633,2.9803121787722734e-6,-0.3477784961246625,4.493397606266466e-7,TRUE
HAO2,strict_only,Metabolism,0.6852429882570926,0.5852917224945806,0.802263102157331,-0.3779817762381782,5.925324846071445e-5,0.45009608841610427,517,170,TRUE,0,NA,-0.3686103765736304,2.271536630955727e-6,-0.4418969920334476,1.1973184629675482e-8,TRUE
LRRK2,strict_only,Unclassified,0.7258331183710197,0.634929658641727,0.8297513095406938,-0.32043515508296266,6.024978271226214e-5,0.5230659210008685,517,170,TRUE,0,NA,-0.3167988336218391,3.817536312672761e-6,-0.2784019826295618,8.042899074066998e-6,TRUE
IFI30,strict_only,Immune,1.4528960427758333,1.2429375109633285,1.698321027802625,0.37355883541867746,6.0662587000772394e-5,0.32015610179563314,517,170,TRUE,0,NA,0.3900887317788583,9.96841880532541e-7,0.4237660071921788,5.5314001598500456e-8,TRUE
KCNH3,strict_only,Unclassified,1.3634498039512275,1.197720453524293,1.5521112313182484,0.3100181085086718,6.095963304535589e-5,0.9267490360025386,517,170,TRUE,0,NA,0.32427437164569745,6.77780206584429e-7,0.3088189650099531,1.2138118413569469e-6,TRUE
IRF9,strict_only,Immune,1.4505632095157623,1.2405518261006467,1.69612714320406,0.371951901372523,6.779015154110905e-5,0.14277489918860506,517,170,TRUE,0,NA,0.35881618276981125,5.942432372107284e-6,0.40138525895524224,7.987805852302814e-7,TRUE
ACAT1,strict_only,Metabolism,0.6707054987053958,0.5668666075613803,0.79356564664985,-0.39942513745262653,6.973967510125995e-5,0.39872265583604255,517,170,TRUE,0,NA,-0.43386447926022054,4.113571623653947e-7,-0.4784225976421153,6.532563138154008e-9,TRUE
LRRC19,strict_only,Unclassified,0.7021915014510013,0.6049723289743562,0.8150338141017889,-0.3535491180681227,7.074199867962502e-5,0.31519635571809,517,170,TRUE,0,NA,-0.3701334745984155,1.1472317018047731e-6,-0.39357629937223026,3.005097194628847e-8,TRUE
FBP1,strict_only,Hypoxia;Metabolism,0.695414548736742,0.5966418005099035,0.8105389099145082,-0.36324713823415367,7.112349663808016e-5,0.04581433952540878,517,170,FALSE,0,NA,-0.3715184622598081,9.02095214057128e-7,-0.35722040522610937,4.1445909556763e-7,TRUE
PCCA,strict_only,Unclassified,0.6987466800960992,0.6004277763330429,0.8131651169224081,-0.3584670057282666,7.530569168808976e-5,0.2687337969474438,517,170,TRUE,0,NA,-0.3864494119227964,3.572517351977792e-7,-0.4260266993360224,2.3677420877883e-9,TRUE
CYS1,strict_only,Unclassified,0.7268269160381595,0.6347149449732528,0.8323064866541052,-0.3190669095215235,8.090299311645616e-5,0.5666641751490793,517,170,TRUE,0,NA,-0.32544583135401817,6.863380003526805e-7,-0.35239059955423097,6.518225281367988e-8,TRUE
CCNB2,strict_only,Unclassified,1.4212635629409418,1.2242053392066927,1.6500419093520464,0.35154630900343686,8.090299311645616e-5,0.7522110134684774,517,170,TRUE,0,NA,0.3779249273632764,4.4796877560493474e-7,0.45789516785193113,8.144867608210857e-11,TRUE
KCNJ15,strict_only,Unclassified,0.7279369201392345,0.6357561500106427,0.8334833405747214,-0.317540882700012,8.506992173997847e-5,0.18872147718991103,517,170,TRUE,0,NA,-0.3449770024115406,3.620623606906919e-7,-0.32641881197590006,3.099557770034349e-7,TRUE
SNHG1,strict_only,Unclassified,1.4122791612594008,1.219099231962711,1.6360706142980852,0.34520482580410355,8.506992173997847e-5,0.15538390806054783,517,170,TRUE,0,NA,0.3094907381511859,3.691481461731302e-5,0.35965230517834507,3.646746610461846e-6,TRUE
PKHD1,strict_only,Unclassified,0.7303397011946213,0.6387468197822092,0.8350665124609444,-0.3142455089764683,8.506992173997847e-5,0.5831938146494496,517,170,TRUE,0,NA,-0.32491973628275117,6.795249211152123e-7,-0.3476210211661586,1.742891489747111e-7,TRUE
