ID,Description,term_size,overlap,gene_ratio,background_ratio,pvalue,p.adjust,genes
GO:0006107,oxaloacetate metabolic process,10,4,0.0033613445378151263,4.225292601512655e-4,0.0010461359934121307,0.022701151057043234,2805;47;5105;5106
GO:0060048,cardiac muscle contraction,33,7,0.0058823529411764705,0.001394346558499176,0.001078421743416327,0.023144589724088862,4607;4634;481;6330;6546;7139;7273
GO:0071456,cellular response to hypoxia,121,15,0.012605042016806723,0.005112604047830312,0.001107173147618514,0.023503360405423453,101;102724560;10397;112399;1906;360;3934;5743;595;6326;655;664;7291;875;890
GO:0050729,positive regulation of inflammatory response,109,14,0.011764705882352941,0.004605568935648794,0.001131161489858924,0.02369345861141575,101;10318;1051;2113;222236;22861;3956;4192;5008;7098;729230;81030;837;9447
GO:0007076,mitotic chromosome condensation,17,5,0.004201680672268907,7.182997422571513e-4,0.0011871021359485339,0.02369345861141575,23397;51203;5347;64151;7273
GO:0009083,branched-chain amino acid catabolic process,17,5,0.004201680672268907,7.182997422571513e-4,0.0011871021359485339,0.02369345861141575,11112;1629;26275;4329;549
GO:0055091,phospholipid homeostasis,17,5,0.004201680672268907,7.182997422571513e-4,0.0011871021359485339,0.02369345861141575,1071;116238;27329;57333;9619
GO:0070542,response to fatty acid,17,5,0.004201680672268907,7.182997422571513e-4,0.0011871021359485339,0.02369345861141575,210;286676;3158;847;948
GO:0009611,response to wounding,53,9,0.007563025210084034,0.002239405078801707,0.0011959717424895786,0.02369345861141575,10481;1524;177;4192;5080;729230;7450;8829;9002
GO:0045184,establishment of protein localization,43,8,0.0067226890756302525,0.0018168758186504416,0.001201050897352872,0.02369345861141575,22871;23303;255743;288;5347;5371;55165;9928
GO:0043410,positive regulation of MAPK cascade,174,19,0.015966386554621848,0.00735200912663202,0.0012491314693240246,0.0241654215314844,101;120892;146;153;1906;1956;2321;27040;3589;3643;3791;5008;5175;553;57161;6464;7010;7039;8412
GO:0007267,cell-cell signaling,201,21,0.01764705882352941,0.008492838129040435,0.0012562743099864208,0.0241654215314844,10077;146;1524;1906;2256;268;2701;2705;2796;56923;6367;6374;7010;7022;7130;8321;83888;8829;9037;944;9982
GO:0007154,cell communication,75,11,0.009243697478991597,0.003168969451134491,0.0012620957481881254,0.0241654215314844,10077;158326;2701;2705;283;341640;54212;6546;80144;8740;944
GO:0001654,eye development,44,8,0.0067226890756302525,0.0018591287446655682,0.0014041866923120495,0.0266250156318974,341640;5080;56917;655;7306;91851;9573;9997
GO:0007411,axon guidance,150,17,0.014285714285714285,0.006337938902268982,0.0014699921860169703,0.0275286267208548,1906;2044;23767;26999;3798;3897;4914;51466;54437;55558;56920;57453;57556;5794;59277;8829;9037
GO:0090050,positive regulation of cell migration involved in sprouting angiogenesis,26,6,0.005042016806722689,0.0010985760763932903,0.0015420406417353994,0.0275286267208548,3162;3791;5743;7049;8829;9982
GO:0006096,glycolytic process,35,7,0.0058823529411764705,0.0014788524105294291,0.0015551241122265642,0.0275286267208548,2026;229;3101;3939;5207;5214;55753
GO:0006953,acute-phase response,35,7,0.0058823529411764705,0.0014788524105294291,0.0015551241122265642,0.0275286267208548,1051;1401;2157;3588;3934;5004;6288
GO:0030324,lung development,35,7,0.0058823529411764705,0.0014788524105294291,0.0015551241122265642,0.0275286267208548,27031;3158;4311;5629;64220;7477;84695
GO:0007130,synaptonemal complex assembly,18,5,0.004201680672268907,7.605526682722779e-4,0.001576128667134047,0.0275286267208548,100130958;56154;56159;84072;9319
GO:0055010,ventricular cardiac muscle tissue morphogenesis,18,5,0.004201680672268907,7.605526682722779e-4,0.001576128667134047,0.0275286267208548,4607;4634;5629;7049;7139
GO:0050667,homocysteine metabolic process,11,4,0.0033613445378151263,4.6478218616639205e-4,0.0015787026076475872,0.0275286267208548,102724560;50507;670;875
GO:0070365,hepatocyte differentiation,11,4,0.0033613445378151263,4.6478218616639205e-4,0.0015787026076475872,0.0275286267208548,144455;5105;5106;5629
GO:0007218,neuropeptide signaling pathway,89,12,0.010084033613445379,0.003760510415346263,0.00163644586820412,0.0282829980584305,10800;10874;10886;11249;114815;1241;27344;51083;53831;56923;6447;7349
GO:0009887,animal organ morphogenesis,79,11,0.009243697478991597,0.0033379811551949973,0.0019404341267117739,0.033242700433930655,11181;2273;2313;3983;5080;51466;51513;56917;57556;59277;8829
GO:0008203,cholesterol metabolic process,91,12,0.010084033613445379,0.003845016267376516,0.001984518915215568,0.033702308186226125,1071;1576;1595;2222;2230;27329;3156;3158;3422;3931;6820;9619
GO:0008608,attachment of spindle microtubules to kinetochore,19,5,0.004201680672268907,8.028055942874044e-4,0.002051242854801062,0.03453514909850408,10403;1062;147841;57405;83540
GO:0051592,response to calcium ion,47,8,0.0067226890756302525,0.001985887522710948,0.0021810741912616153,0.036407161500290046,10016;360;3706;5026;595;6857;7139;7273
GO:0010669,epithelial structure maintenance,12,4,0.0033613445378151263,5.070351121815186e-4,0.0022742686904626197,0.03732476262582769,158326;286676;341640;80144
GO:0071493,cellular response to UV-B,12,4,0.0033613445378151263,5.070351121815186e-4,0.0022742686904626197,0.03732476262582769,22861;3373;4311;5600
GO:0043066,negative regulation of apoptotic process,435,36,0.030252100840336135,0.01838002281658005,0.00245026146373773,0.03987800532233155,102724560;1956;23162;23530;2796;283;307;3316;332;3791;440;4914;51129;51804;5314;5329;5347;573;5743;6464;64780;6495;664;7010;7020;7076;7349;79092;847;8740;875;8784;8877;89885;960;9928
GO:0031640,killing of cells of another organism,70,10,0.008403361344537815,0.0029577048210588583,0.0025281765360535215,0.040019677152342406,1113;2919;2920;4069;55876;56477;57817;6356;6367;727
GO:0008284,positive regulation of cell population proliferation,436,36,0.030252100840336135,0.018422275742595175,0.0025454704676526846,0.040019677152342406,10312;11082;1435;146;1725;177;1906;1956;2146;2305;2321;2323;332;3588;3589;3643;3791;4839;5008;5314;5629;56917;57111;595;605;6374;6464;7039;7076;7272;7432;80310;8412;9055;991;9928
GO:0030330,"DNA damage response, signal transduction by p53 class mediator",38,7,0.0058823529411764705,0.0016056111885748088,0.002559927256931854,0.040019677152342406,10397;11200;144455;2305;4646;51512;5371
GO:0050919,negative chemotaxis,38,7,0.0058823529411764705,0.0016056111885748088,0.002559927256931854,0.040019677152342406,10718;23767;54437;55558;56920;57556;9037
GO:0010595,positive regulation of endothelial cell migration,59,9,0.007563025210084034,0.002492922634892466,0.0025914854719189377,0.040019677152342406,10016;1906;2113;3791;3934;5587;5629;7010;8829
