symbol,evidence_score,tcga_log2fc,main_log_hr,main_hr,main_fdr,gse40435_log2fc,gse40435_pvalue,gse40435_nominal,gse53757_log2fc,gse53757_pvalue,gse53757_nominal,gse29609_present,gse29609_log_hr,gse29609_fdr,gse29609_same_direction,emtab_present,emtab_log_hr,emtab_fdr,emtab_same_direction,marker_fdr,marker_fdr_support,purity_fdr,purity_fdr_support,nested_folds,tracerx_fixed_direction,tracerx_fixed_median_log_hr,os_interaction_log_hr,os_interaction_fdr,any_interaction_fdr_lt_0.05,retained_under_every_aliquot_rule,evidence_profile
KNTC1,6.607724426535875,1.15604029023953,0.41317926152804135,1.5116159762374974,4.08255487434012e-6,0.6099497364752481,8.156347249871469e-27,TRUE,1.112857677034536,1.425745341148925e-23,TRUE,TRUE,-0.25794274703216596,0.4220508677768393,FALSE,TRUE,0.987533138049533,1.3829849175011042e-6,TRUE,0.01641549639225889,TRUE,1.5371852025328337e-7,TRUE,0,0.998,0.4303300109565481,0.11533735821438,0.6702307042144062,FALSE,TRUE,discovery association with mixed external direction
PODXL,6.3239787049017995,-1.368538589150184,-0.41295393620776416,0.6616927622037673,8.773091522225725e-6,-0.4851630748250821,3.19508439123685e-16,TRUE,-1.2562460577918564,1.9062139593809767e-14,TRUE,TRUE,0.19689746508539877,0.4796038174682696,FALSE,TRUE,-0.7327433557986237,1.458549168999234e-4,TRUE,0.3388560826130368,FALSE,2.1224334879054765e-7,TRUE,0,1,-0.6033630606028908,-0.2910011935998282,0.3282242350122289,FALSE,TRUE,composition-sensitive association
HIBCH,6.172182532887441,-1.2854921757226656,-0.4099623749107515,0.6636752205059637,5.252857699169451e-5,-1.9183963153564372,2.6218293619794144e-45,TRUE,-1.7581557606878162,1.6188534456300275e-28,TRUE,TRUE,0.2855619338449482,0.30450071346976954,FALSE,TRUE,-0.6370928957855956,0.02263623108188589,TRUE,0.10545415876311402,FALSE,3.6474489815714822e-6,TRUE,0,0.994,-0.565130701195568,-0.05768380799249645,0.8145944399781458,FALSE,TRUE,composition-sensitive association
TNIP1,6.155957050955356,1.0467509822977,-0.414945866298316,0.6603760283363156,6.172755083068598e-6,0.6735680433762375,3.6027067393329527e-29,TRUE,0.29285205852519614,9.8738566870768e-5,TRUE,TRUE,0.40202737908897784,0.30450071346976954,FALSE,TRUE,-0.5602286470700154,0.00463948917356016,TRUE,0.00460116752601851,TRUE,3.003590177956194e-7,TRUE,0,0.69,-0.09094857602331974,-0.04496101526967091,0.8439341665447893,FALSE,TRUE,discovery association with mixed external direction
TCIRG1,6.14963185108728,1.4554861719595853,0.4257531411377312,1.5307428510495755,1.8968273730796864e-5,0.41317265477887855,8.983447771162709e-36,TRUE,1.7192551968262653,1.026195242328085e-23,TRUE,TRUE,-0.7659006109987655,0.02144477661235515,FALSE,TRUE,0.7344246635611534,0.00289546795722018,TRUE,0.00234669905158075,TRUE,9.434132399485624e-7,TRUE,0,0.994,0.7631975984374639,0.20930811515180556,0.5447567652891703,FALSE,TRUE,external reversal
LTB4R,6.0039094823189965,2.5859607018151056,0.4152348937982004,1.51472649876826,2.3639185338214345e-5,0.29751279978217837,3.749557051031634e-18,TRUE,1.037832061672287,2.490263261641404e-15,TRUE,TRUE,0.17187667916761845,0.648725355857341,TRUE,TRUE,0.32504800777152887,0.1991879557832069,TRUE,0.00234669905158075,TRUE,1.3867595803947628e-6,TRUE,0,0.392,-0.08744994004025819,-0.08547004091456685,0.7521029449860466,FALSE,FALSE,directionally concordant association
LRBA,5.907913064148,-1.250798957117597,-0.42337150345977026,0.6548353143328662,1.304810499897916e-5,-0.33383036391089144,7.26864947259302e-30,TRUE,-0.7159572724128622,5.576014715336925e-22,TRUE,TRUE,0.40494740499473175,0.28613355230193127,FALSE,TRUE,-0.3584281640198857,0.16005782384248762,TRUE,0.0052853107971037,TRUE,8.792151223677897e-7,TRUE,0,1,-0.5953706322792967,-0.07319833062828762,0.7521029449860466,FALSE,TRUE,discovery association with mixed external direction
GRAMD1A,5.588370445744374,1.3173645507784109,0.4057580580941821,1.500439489350083,3.76711391744721e-5,0.9135191420990116,3.2047418853495075e-40,TRUE,0.571925550758587,1.704583101659085e-15,TRUE,TRUE,0.02972420456905957,0.8876189084560949,TRUE,TRUE,0.22893550358398912,0.3377618363656278,TRUE,0.03214868085067399,TRUE,3.646120840534906e-6,TRUE,0,0.985,0.627028533587153,0.11224427197849111,0.6702307042144062,FALSE,FALSE,directionally concordant association
IFFO1,5.5629129123662455,1.7787928189403293,0.4086497996244981,1.504784652050967,4.320803847783538e-5,0.415958444975248,8.302990585126346e-33,TRUE,0.8862488549559129,2.2663368338277386e-19,TRUE,FALSE,NA,NA,FALSE,TRUE,0.0938524804636526,0.6932669996595779,TRUE,0.00487925118513611,TRUE,3.620043676547192e-6,TRUE,0,0.574,0.03496040888776293,0.13084688252515334,0.6702307042144062,FALSE,FALSE,discovery association with mixed external direction
TNFAIP2,4.82078545869631,1.2899352747304058,0.42728551519013547,1.533090319816186,1.3418549757050055e-4,0.3522865337029721,3.147157165459975e-10,TRUE,0.43736887473448943,1.7758623330415297e-5,TRUE,TRUE,0.03767974552637499,0.8876189084560949,TRUE,TRUE,-0.009783479846663,0.9636439913118368,FALSE,0.00196911113544793,TRUE,1.4397043323849407e-5,TRUE,0,0.636,0.08423095903087029,0.01269941817023601,0.9376891614996614,FALSE,FALSE,discovery association with mixed external direction
