accession,symbol,log2FoldChange,log2fc_ci_low,log2fc_ci_high,AveExpr,t,pvalue,padj,B,significant
GSE53757,IPMK,0.16936717908192675,-0.06401841385280513,0.4027527720166586,5.901338167921632,1.4343422883737538,0.15363344181326788,0.20543119330767162,-6.58391443106111,FALSE
GSE53757,TMPRSS12,-0.3260052722879456,-0.7753099724292049,0.1232994278533136,4.295162109847265,-1.4341060034718167,0.153700744689046,0.20550917709708813,-6.584250053276302,FALSE
GSE53757,LOC101805491,-0.20627942493937954,-0.4905972708449352,0.07803842096617611,3.3787760372979316,-1.434000767602424,0.1537307271330842,0.20553725453193283,-6.584399514407133,FALSE
GSE53757,RP11-319E16.2,-0.2839452992002332,-0.6753248905797382,0.1074342921792718,5.786160431831674,-1.4339503014691553,0.15374510688533816,0.20554446917941668,-6.584471185097194,FALSE
GSE53757,KIAA0368,0.06884318675514887,-0.026060993362827523,0.16374736687312527,9.627967358774306,1.433749290130896,0.15380239303957716,0.20560904193663604,-6.584756631844304,FALSE
GSE53757,FAM173B,-0.09310838276266319,-0.22149353372231684,0.03527676819699045,8.386536200917504,-1.4334137927551693,0.15389804284032657,0.20572489017215892,-6.585232969259204,FALSE
GSE53757,C20orf196,0.11256106120243148,-0.042677733386608935,0.2677998557914719,6.649339829268141,1.4331297414923114,0.15397906113971657,0.20582116719499416,-6.585636179054608,FALSE
GSE53757,LOC101929728,0.18756866757141177,-0.0711505351063847,0.44628787024920824,5.067612250139748,1.4329440090075367,0.15403205425063896,0.20587997436935504,-6.585899783686272,FALSE
GSE53757,EIF2S2,0.15183206300588623,-0.05767098178905852,0.361335107800831,9.43438804471346,1.432421219025175,0.1541812916512412,0.20606740773295162,-6.586641585793956,FALSE
GSE53757,ODF4,0.19354256784187693,-0.07352263566449638,0.46060777134825026,4.458582393520878,1.4323751704681522,0.1541944421468268,0.20607294604669374,-6.586706912840638,FALSE
GSE53757,LINC01267,0.31595311254823283,-0.12013039547868026,0.7520366205751459,4.55253851452617,1.432024892635806,0.1542945022926698,0.20619462720964227,-6.587203769656114,FALSE
GSE53757,PNKP,-0.07416892393310397,-0.17658514572262013,0.02824729785641221,9.048694945171396,-1.4313664045223866,0.15448274052957883,0.20642833617762057,-6.5881374922144955,FALSE
GSE53757,CCDC172,-0.27963142110936,-0.6657651304776316,0.10650228825891161,3.9781190922691003,-1.4313500075530217,0.15448743008607504,0.20642833617762057,-6.588160737452247,FALSE
GSE53757,PRMT3,0.069946704475231,-0.026645040548835333,0.16653844949929736,9.305246960450827,1.431280773497577,0.15450723232897448,0.20644273976214297,-6.5882588845701475,FALSE
GSE53757,FBXL5,0.10086489693054863,-0.03842786625712434,0.2401576601182216,12.17452191239296,1.4312288675703002,0.15452207967898982,0.20645052163826494,-6.58833246407644,FALSE
GSE53757,NR1I2,0.18857668797984142,-0.071911270110741915,0.44906464607042473,4.212114576489096,1.4308626399042144,0.15462686782571392,0.20657846174543587,-6.588851538222213,FALSE
GSE53757,OR51B6,-0.2867696498245076,-0.6829607407031286,0.10942144105411339,5.223685088454887,-1.4306258647514134,0.15469464495310958,0.20665694380376876,-6.589187063640156,FALSE
GSE53757,L1TD1,-0.208639299864508,-0.4969808336777489,0.07970223394873296,5.185856446877128,-1.4301661814438338,0.15482629486604108,0.20682073952212868,-6.589838309949995,FALSE
GSE53757,HBS1L,0.12220896566644572,-0.04669327996766261,0.29111121130055406,7.604216050902138,1.4300961468888445,0.1548463597918292,0.20683546687121562,-6.589937512021487,FALSE
GSE53757,RP11-753A21.2,-0.28264803848272685,-0.6733218839713415,0.10802580700588782,5.239794792595272,-1.4299775864844795,0.15488033193964815,0.2068687679380706,-6.590105438895386,FALSE
GSE53757,ZBTB4,-0.08079432196488323,-0.19248680925045397,0.030898165320687523,10.75233556537962,-1.4297314488425326,0.15495087816885106,0.20695091311092825,-6.5904540207153985,FALSE
GSE53757,LOC101928668,-0.23969770882306798,-0.5711103821671429,0.09171496452100694,3.9954972833782536,-1.4295270008333363,0.15500949435394676,0.20701127146806494,-6.59074351704475,FALSE
GSE53757,LOC102725136,-0.32566596536881254,-0.7759458563599837,0.12461392562235857,3.490409102459144,-1.4295107097146558,0.1550141658244037,0.20701127146806494,-6.590766583374151,FALSE
GSE53757,MAOB,-0.14757753449586714,-0.3516353111699063,0.05648024217817202,7.077574256767416,-1.4294359224997368,0.1550356124085196,0.20702782840591388,-6.590872470093864,FALSE
GSE53757,LYZL6,0.1920345447586507,-0.07351556846494725,0.4575846579822487,6.288392930606009,1.4293232597809653,0.1550679247750978,0.20705087796134744,-6.591031972295031,FALSE
GSE53757,RP11-399E6.1,-0.26526346242790105,-0.6320790589690504,0.10155213411324826,3.131570913615884,-1.4293126352070589,0.1550709722353868,0.20705087796134744,-6.591047013400928,FALSE
GSE53757,LOC101927359,0.3687290778496013,-0.1412837703692592,0.8787419260684618,3.3918256185962234,1.428972470869642,0.1551685663010157,0.20716909593086533,-6.591528523298954,FALSE
GSE53757,MYLK,-0.10987199074848542,-0.2618890668414027,0.04214508534443187,8.218663620771432,-1.428539358377143,0.1552928956269573,0.20731171445981414,-6.592141442066472,FALSE
GSE53757,RP5-935K16.1,0.06624908490067959,-0.02541295523991352,0.1579111250412727,9.430029712226982,1.4285253658983617,0.15529691358355516,0.20731171445981414,-6.5921612404988394,FALSE
GSE53757,MKX,-0.2043841330854382,-0.4871733208574236,0.07840505468654721,3.341864820005151,-1.4285056703747672,0.1553025693112419,0.20731171445981414,-6.592189108043137,FALSE
GSE53757,SLC22A16,0.2024971870826702,-0.07781146815392911,0.4828058423192695,5.053090670078865,1.4278417571539612,0.1554933097645388,0.20755422247317237,-6.593128272088045,FALSE
GSE53757,DPH3P1,-0.3154559130124464,-0.7521716415516876,0.12125981552679477,5.2367945608447615,-1.4277015490509828,0.15553361413799194,0.2075959101316798,-6.5933265545865725,FALSE
GSE53757,SERPINB2,-0.3285800422642266,-0.7834894498791816,0.12632936535072842,3.515321799767761,-1.4276240475749618,0.15555589623455232,0.20761353939488755,-6.593436149160722,FALSE
GSE53757,GNAS-AS1,-0.31967997811149645,-0.7623269972685591,0.12296704104556627,4.971400006139088,-1.427432184827587,0.15561106835164654,0.20767506088927165,-6.593707436738638,FALSE
GSE53757,LATS1,-0.11641835956538364,-0.27767589212722604,0.04483917299645877,6.378347519238898,-1.4269181333193866,0.15575896314316648,0.2078603136025459,-6.594434113856243,FALSE
GSE53757,PRDM13,0.3165583288556617,-0.12200603156822953,0.755122689279553,4.337676064657775,1.4266518380998314,0.1558356197694576,0.20795048293043217,-6.594810455931841,FALSE
GSE53757,LOC100506827,-0.3214725270224829,-0.7669094384603599,0.12396438441539398,3.7272760139996834,-1.426445731320551,0.15589497020676318,0.20801754932820563,-6.59510168973444,FALSE
GSE53757,FRMPD2,-0.27981327640380754,-0.6676071013351033,0.10798054852748812,4.944346894179272,-1.426149386334717,0.15598033597713964,0.20809880060907276,-6.595520360585864,FALSE
GSE53757,HHAT,-0.09572616265823218,-0.22839366535055866,0.036941340034094286,7.90700826816653,-1.4261450129549507,0.1559815960505464,0.20809880060907276,-6.595526538584699,FALSE
GSE53757,BC034636,0.3001774445325866,-0.11584197223457987,0.7161968612997531,4.502698545524478,1.4261396259502992,0.1559831481838111,0.20809880060907276,-6.5955341484424,FALSE
GSE53757,NR2C2,-0.08808845077423594,-0.21017670459883764,0.03399980305036576,8.391624960783169,-1.4260760349708395,0.15600147125972233,0.20811111086364917,-6.595623977012964,FALSE
GSE53757,LINC01364,-0.3096014459607772,-0.738961490054198,0.11975859813264356,3.3659825359282256,-1.4252102770612853,0.1562510945314384,0.20843196378727322,-6.596846558583373,FALSE
GSE53757,KIAA1257,-0.15398538908610643,-0.3675659787355754,0.05959520056336251,4.664650666737023,-1.4250015129609208,0.15631133310097423,0.20850016331547194,-6.597141257164933,FALSE
GSE53757,TUBB8P2,0.2738352355022633,-0.10598844216431158,0.6536589131688382,5.775570165049365,1.424967263486884,0.1563212174348879,0.20850119242801884,-6.597189600892234,FALSE
GSE53757,TASP1,0.13232536099689643,-0.05125718123641804,0.3159079032302109,7.32602872663138,1.424653665157063,0.15641174359873158,0.20860977519900778,-6.597632197852849,FALSE
GSE53757,DVL2,0.11442084019375925,-0.04433478210076511,0.27317646248828364,7.969811032625892,1.4245365928531655,0.15644554905800295,0.2086427000726922,-6.597797403554489,FALSE
GSE53757,USP28,-0.07608107738444074,-0.1816558737369732,0.02949371896809172,7.99861576888355,-1.4243410583598541,0.15650202351660542,0.20870585172582223,-6.598073301150706,FALSE
GSE53757,CC2D1A,-0.12462440405383661,-0.29756518544069643,0.0483163773330232,6.9464762982411745,-1.424305887710752,0.15651218319441193,0.20870723577853742,-6.598122922746237,FALSE
GSE53757,FKRP,-0.17733783908190684,-0.4234676507935474,0.06879197262973374,6.556232646709412,-1.4240813030488166,0.1565770704517072,0.20878159402850172,-6.598439756854457,FALSE
GSE53757,PRR18,-0.33703601705974817,-0.8050867930973871,0.13101475897789078,4.954095361847642,-1.423249159755249,0.15681767393331114,0.2090902319110815,-6.599613284352775,FALSE
GSE53757,LOC153910,0.23911413912939508,-0.09309741519368744,0.5713256934524776,5.985213198257972,1.4226173992461937,0.15700052838449124,0.2093218396035872,-6.6005037772746595,FALSE
GSE53757,RP11-109G23.3,0.14909348510292975,-0.05807199250946338,0.35625896271532287,6.434671379907674,1.422456102961367,0.15704723955146094,0.20937191708060984,-6.600731069546541,FALSE
GSE53757,AC108056.1,-0.30530142876942584,-0.7296267962405159,0.11902393870166417,3.647435026509634,-1.4220911464419073,0.15715296971192136,0.20950066695850147,-6.601245259177919,FALSE
GSE53757,BC040886,-0.2223963698173316,-0.5315272077189408,0.08673446808427757,3.3628614869500275,-1.4219455118771063,0.15719517615989617,0.20954472328935123,-6.601450408858393,FALSE
GSE53757,SEC1P,-0.2652643069347956,-0.6340019309375908,0.10347331706799962,5.055942647273721,-1.4218669372728665,0.15721795152205498,0.2095628739192903,-6.601561085326729,FALSE
GSE53757,MROH9,-0.33651806602932205,-0.8043471756793168,0.13131104362067264,3.2189768207820775,-1.4217352617961632,0.15725612418446963,0.20960154499246564,-6.601746543837197,FALSE
GSE53757,RP11-134L10.1,-0.11188649116130207,-0.26743978705676746,0.04366680473416333,7.386421622564768,-1.4216609312318143,0.15727767571605608,0.2096058108308141,-6.601851227450359,FALSE
GSE53757,LINC01126,0.17514205740565655,-0.06835823160669333,0.41864234641800646,6.11021539904655,1.4216364759798987,0.15728476680828457,0.2096058108308141,-6.601885667894477,FALSE
GSE53757,UPK3B,0.26267692002715964,-0.10252504002503543,0.6278788800793547,5.47634636072667,1.4216294367538425,0.15728680796128702,0.2096058108308141,-6.601895581162225,FALSE
GSE53757,C12orf74,-0.318557441541307,-0.7615521195923302,0.12443723650971616,3.1309616016839277,-1.4213035401503846,0.15738132988266812,0.20971955898168007,-6.602354485651783,FALSE
GSE53757,RIMS2,-0.19513225608471027,-0.4665270890218597,0.07626257685243917,5.530770164328943,-1.4211014507184885,0.1574399650450219,0.2097854755244366,-6.60263900227082,FALSE
GSE53757,RPS4XP2,0.09176231699780944,-0.03587296304593031,0.2193975970415492,14.222699004249478,1.4209906726999715,0.15747211378814535,0.2098160938430448,-6.602794947158871,FALSE
GSE53757,LOC101927138,-0.3253756682788409,-0.7780105252858991,0.1272591887282173,3.4207435182779067,-1.4208056303342542,0.15752582589927075,0.20987543798843036,-6.603055409394729,FALSE
GSE53757,LOC101060429,-0.2596556500706633,-0.6209156740604564,0.10160437391912974,3.7639764065547605,-1.420611947045395,0.157582061227648,0.2099381367700353,-6.603327999105371,FALSE
GSE53757,PDE10A,-0.2154401241547734,-0.5152644042066888,0.08438415589714207,7.370820444451553,-1.4202257516729955,0.15769423770199395,0.21007535130256894,-6.603871422309047,FALSE
GSE53757,ZNF195,0.0678035940223963,-0.026613545128867405,0.16222073317366,9.684046152860248,1.419382575925992,0.1579393636655139,0.21037996498191833,-6.605057372421373,FALSE
GSE53757,KRT5,0.33044414700292246,-0.12970456391917534,0.7905928579250203,4.559317183658883,1.4193759622754085,0.15794128752160888,0.21037996498191833,-6.605066671997511,FALSE
GSE53757,ALDOAP2,-0.3210943390965168,-0.7682708791691693,0.12608220097613565,4.912776070491323,-1.4192249240614856,0.15798522816705984,0.21042624405997956,-6.605279038148225,FALSE
GSE53757,LOC143188,-0.280627220784283,-0.6715218448786064,0.11026740331004042,4.8444813454512285,-1.4189519507142858,0.15806466640503683,0.21050928380946762,-6.605662794528194,FALSE
GSE53757,NOX3,-0.23959774623099298,-0.5733421610177127,0.09414666855572676,2.718991397738275,-1.418947456697819,0.15806597446882228,0.21050928380946762,-6.605669111787909,FALSE
GSE53757,MIA3,0.059172225648315736,-0.023257162498717628,0.1416016137953491,9.14368977430445,1.4188399895323591,0.15809725717499745,0.21053869065618658,-6.6058201730832815,FALSE
GSE53757,AX746690,0.23095929570560214,-0.09085055387232488,0.5527691452835292,3.396433271930686,1.4185142601634482,0.15819210294802608,0.2106446203012912,-6.606277966825225,FALSE
GSE53757,LOC101930150,-0.06702749401075063,-0.1604217441168358,0.02636675609533455,7.50716038163691,-1.4185035762432563,0.1581952146257468,0.2106446203012912,-6.606292980724255,FALSE
GSE53757,DOPEY1,-0.09155935008093374,-0.21920086394407517,0.03608216378220769,7.410905156774038,-1.4177783712140137,0.15840653913612163,0.21091373460396082,-6.6073118397462105,FALSE
GSE53757,LOC100127940,0.27433049157630246,-0.10815095399125568,0.6568119371438605,5.413111383364853,1.417624797826675,0.15845131806775034,0.21096107985976886,-6.60752753389868,FALSE
GSE53757,ACRC,0.10390016701160198,-0.04099555924256629,0.24879589326577026,7.367875262843687,1.4172884944421953,0.158549411235832,0.2110736420480015,-6.607999793360091,FALSE
GSE53757,LOC100127974,-0.3039720339160483,-0.7278863742485893,0.11994230641649256,4.122188764455979,-1.4172716927064137,0.1585543131940123,0.2110736420480015,-6.60802338461097,FALSE
GSE53757,LRRC15,-0.20541182782504497,-0.491917321259725,0.08109366560963505,5.440248212218363,-1.4170660243019664,0.15861432697984848,0.21114124978467147,-6.608312140763411,FALSE
GSE53757,ATP13A1,0.06413052658024283,-0.02535860548670134,0.15361965864718702,10.124669938230994,1.4164201677657176,0.15880290006854184,0.21137997286452018,-6.609218651210363,FALSE
GSE53757,LOC100129449,0.2736191178785024,-0.10824512636408179,0.6554833621210866,3.728390346378499,1.4162340608790944,0.15885727018267867,0.2114400431518143,-6.609479792270041,FALSE
GSE53757,LOC729680,-0.2544909617957822,-0.6097533969295591,0.10077147333799474,6.639648213013304,-1.4158611543914439,0.15896625562001085,0.2115727955666249,-6.610002945960234,FALSE
GSE53757,LOC646588,-0.2591267548918826,-0.6211234218542857,0.10286991207052054,5.520353647395272,-1.4148333109956621,0.1592669485110785,0.21196066670157493,-6.611444222563498,FALSE
GSE53757,OR10A5,-0.28034261866755106,-0.6720367620363734,0.1113515247012713,3.849256666782852,-1.4146194975792987,0.15932955366140067,0.21203165170551083,-6.611743911021123,FALSE
GSE53757,MAPK15,-0.1866046368830483,-0.4474228552976348,0.07421358153153823,5.4067275124612015,-1.4141064366071119,0.15947985603508152,0.21221932686301415,-6.6124628557660134,FALSE
GSE53757,PPIEL,-0.11112011067316463,-0.26644348023994835,0.04420325889361912,5.957097456865199,-1.4140131673673468,0.15950719110701236,0.2122433575183741,-6.612593525322512,FALSE
GSE53757,PRDM15,0.10137115082519761,-0.04034376916471373,0.24308607081510897,5.932662259339534,1.4138273961297159,0.15956164705876513,0.21230149690189978,-6.612853764557656,FALSE
GSE53757,SH3BGRL,0.04863456325080956,-0.019356899852412485,0.1166260263540316,12.371641237797977,1.4138008070217938,0.15956944240480642,0.21230149690189978,-6.612891009417342,FALSE
GSE53757,RP3-452M16.1,-0.28565754892392314,-0.685063040325538,0.11374794247769165,2.356915418991749,-1.4136088832186773,0.15962571890727523,0.2123640218978054,-6.613159827680909,FALSE
GSE53757,EREG,0.24054257438448845,-0.09583237104131426,0.5769175198102912,5.400616248205127,1.413402666233174,0.1596862034042538,0.21243213755970272,-6.6134486261431125,FALSE
GSE53757,UNC5A,0.21072802074222827,-0.083972874785506,0.5054289162699626,3.8844997624609525,1.4133132299592241,0.15971244096525283,0.2124485351457693,-6.6135738652492195,FALSE
