symbol,n,events,clinical_concordance,gene_model_concordance,composition_model_concordance,delta_concordance_gene_vs_clinical,gene_lrt_p_vs_clinical,base_log_hr,base_hr,base_p_value,gene_log_hr,gene_hr,gene_p_value,composition_adjusted_log_hr,composition_adjusted_hr,composition_adjusted_p_value,same_direction_after_composition,gene_lrt_fdr_vs_clinical,gene_fdr,composition_adjusted_fdr
GJB1,525,170,0.7657026742624914,0.7751369788453862,0.7858594288617149,0.009434304582894848,8.29239568345443e-8,-0.4224650121316321,0.6554291859957572,1.1838499577924499e-8,-0.4224650121316321,0.6554291859957572,1.1838499577924499e-8,-0.20249448170224746,0.8166909893297271,0.058323366626704766,TRUE,2.035406213211542e-7,3.196394886039615e-8,0.07498718566290613
LRBA,525,170,0.7657026742624914,0.7790739867194021,0.7907580100874487,0.0133713124569107,1.4264820653690642e-7,-0.4531098301322976,0.635648316453779,1.763663767346621e-7,-0.4531098301322976,0.635648316453779,1.763663767346621e-7,-0.29553330998548566,0.7441346271966506,0.0018471915014828604,TRUE,2.962693520381903e-7,2.801113042256398e-7,0.004156180878336436
CLCN5,525,170,0.7657026742624914,0.784426140280852,0.7887622918102979,0.018723466018360613,1.320150003571345e-7,-0.4179705520742072,0.6583816161123368,5.0272033314295654e-8,-0.4179705520742072,0.6583816161123368,5.0272033314295654e-8,-0.2304124279818379,0.79420598217769,0.03646090144528169,TRUE,2.962693520381903e-7,9.695320710614162e-8,0.05181285994855819
TEK,525,170,0.7657026742624914,0.7780216989005406,0.7908850103414493,0.012319024638049236,1.6377155990868557e-7,-0.4058770649337851,0.6663920853446277,3.381729335052447e-8,-0.4058770649337851,0.6663920853446277,3.381729335052447e-8,-0.5458630413512434,0.5793415717863211,0.00751577076714167,TRUE,3.1584515125246505e-7,7.643529556036802e-8,0.013528387380855007
CADPS2,525,170,0.7657026742624914,0.7741028339199536,0.7917014405457382,0.008400159657462214,1.850941256857185e-7,-0.42463655054577804,0.6540074405866965,4.798969331562849e-8,-0.42463655054577804,0.6540074405866965,4.798969331562849e-8,-0.26376777541305496,0.7681519027040786,9.491686806009192e-4,TRUE,3.331694262342933e-7,9.695320710614162e-8,0.002562755437622482
FUT6,525,170,0.7657026742624914,0.7769512681882507,0.7858775717551435,0.011248593925759276,2.766449367419138e-7,-0.40588606699420243,0.6663860864698149,8.355255037168601e-8,-0.40588606699420243,0.6663860864698149,8.355255037168601e-8,-0.19788603874318386,0.8204633488446916,0.15216072532854055,TRUE,4.6683833075197954e-7,1.5039459066903484e-7,0.16433358335482381
TCIRG1,525,170,0.7657026742624914,0.7797271308828332,0.7936608730360317,0.014024456620341796,3.241226799559715e-7,0.4294557278534527,1.5364210647474061,3.9317497124472105e-7,0.4294557278534527,1.5364210647474061,3.9317497124472105e-7,0.3895561428366329,1.4763253708449877,3.245727530268367e-4,TRUE,5.147830799300723e-7,5.587223275582878e-7,0.0020315455142853726
LTB4R,525,170,0.7657026742624914,0.7778946986465402,0.7941144453717479,0.01219202438404876,3.738987722383565e-7,0.4178160043117369,1.5186412252568435,5.282994141544646e-7,0.4178160043117369,1.5186412252568435,5.282994141544646e-7,0.3080865656422266,1.3608187839905646,6.584980612537901e-4,TRUE,5.608481583575348e-7,7.132042091085273e-7,0.0020315455142853726
EMCN,525,170,0.7657026742624914,0.7746652636162414,0.7846257121085671,0.00896258935375005,4.0545305659200894e-7,-0.40596911923027346,0.6663307439134403,9.465106251419942e-8,-0.40596911923027346,0.6663307439134403,9.465106251419942e-8,-0.15036770462881377,0.8603915482976782,0.31187110395020384,TRUE,5.761701330518022e-7,1.5972366799271151e-7,0.3238661464098271
PODXL,525,170,0.7657026742624914,0.7778039841793969,0.7853514278457128,0.0121013099169055,5.317834456386342e-7,-0.40933662500657014,0.6640906451740206,2.06862863070943e-7,-0.40933662500657014,0.6640906451740206,2.06862863070943e-7,-0.17040144171793278,0.8433262023145468,0.37793063108936464,TRUE,7.179076516121562e-7,3.102942946064145e-7,0.37793063108936464
IFFO1,525,170,0.7657026742624914,0.7784571283428281,0.793443158314888,0.012754454080336708,8.292584068032976e-7,0.4205016741985371,1.5227252760156444,1.1592244362975762e-6,0.4205016741985371,1.5227252760156444,1.1592244362975762e-6,0.3025685758022645,1.3533304789624554,0.0016121655354934803,TRUE,1.0661893801756684e-6,1.4226845354561163e-6,0.003957133587120361
HIBCH,525,170,0.7657026742624914,0.7753728364599586,0.7866577161725752,0.009670162197467191,1.505620811486641e-6,-0.4145921448859503,0.6606096587953632,1.6877279200233142e-6,-0.4145921448859503,0.6606096587953632,1.6877279200233142e-6,-0.2234594286942307,0.7997473380031889,0.07561612409547715,TRUE,1.8478073595517867e-6,1.9812458191578036e-6,0.09280160684444923
GRAMD1A,525,170,0.7657026742624914,0.7794731303748321,0.7906128669400196,0.013770456112340734,1.6678995975492027e-6,0.43806916847653543,1.5497120949371428,8.343602527592714e-7,0.43806916847653543,1.5497120949371428,8.343602527592714e-7,0.23643310902617864,1.2667228204631344,0.014969009635406783,TRUE,1.957969092775151e-6,1.0727488964047776e-6,0.022453514453110175
ACAT1,525,170,0.7657026742624914,0.7780761275808266,0.7900685801371603,0.01237345331833517,2.016908305885943e-6,-0.40875727074252205,0.6644755003940083,3.367916339784818e-6,-0.40875727074252205,0.6644755003940083,3.367916339784818e-6,-0.21096709110439354,0.8098007160900037,0.038424570727908156,TRUE,2.2690218441216863e-6,3.78890588225792e-6,0.05187317048267601
TNFAIP2,525,170,0.7657026742624914,0.7760622664102471,0.7947857324286077,0.010359592147755725,3.757696163617734e-6,0.4305901648197023,1.5381650266193556,6.6236778990202155e-6,0.4305901648197023,1.5381650266193556,6.6236778990202155e-6,0.3743544601500175,1.454052462776705,1.2286868953192975e-4,TRUE,3.911979347193625e-6,6.878434741290225e-6,0.0014506393172298599
DBT,525,170,0.7657026742624914,0.7727239740193765,0.7904858666860191,0.0070212997568851465,3.76709122322349e-6,-0.4166457711143031,0.6592544055414734,4.261862210978231e-6,-0.4166457711143031,0.6592544055414734,4.261862210978231e-6,-0.2509869873559611,0.7780324957530038,0.009357091433143278,TRUE,3.911979347193625e-6,4.60281118785649e-6,0.01579009179342928
FHOD1,525,170,0.7657026742624914,0.7696578250299357,0.7918284407997387,0.003955150767444349,1.0870932922877072e-5,0.41652762820698513,1.51668590405556,1.0861807776378328e-5,0.41652762820698513,1.51668590405556,1.0861807776378328e-5,0.3644528883315319,1.4397261016828313,1.6118214635887332e-4,TRUE,1.0870932922877072e-5,1.0861807776378328e-5,0.0014506393172298599
