symbol,tcga_gene_id,repeats_modeled,main_screen_frequency,selection_frequency,median_log_hr,log_hr_iqr,full_main_log_hr,frozen_high_confidence,full_fit_direction_agreement
LAIR1,ENSG00000167613.16,20,0,0,0.06945307585039279,0.06738963330282291,0.06759889612166577,FALSE,TRUE
LAIR2,ENSG00000167618.10,20,0,0,0.07782671497706921,0.05802618844549141,0.08956033872482973,FALSE,TRUE
LAMA2,ENSG00000196569.13,20,0,0,-0.010726001957178133,0.04291236266932323,-0.00952652105954606,FALSE,TRUE
LAMA4,ENSG00000112769.20,20,0,0,-0.034437084973242105,0.07492931650241717,-0.02926737492026811,FALSE,TRUE
LAMB4,ENSG00000091128.13,20,0,0,0.1680094761117284,0.04365311156052701,0.14615683487038306,FALSE,TRUE
LAMC2,ENSG00000058085.15,20,0,0,0.08160525347296149,0.037014449879785964,0.05936807108146152,FALSE,TRUE
LAMP3,ENSG00000078081.8,20,0,0,0.10372273653268947,0.06955394929093468,0.09085375061569152,FALSE,TRUE
LAPTM4B,ENSG00000104341.17,20,0,0,0.10190592680255323,0.051532520518471556,0.09475350495898782,FALSE,TRUE
LAPTM5,ENSG00000162511.8,20,0,0,-0.08181596715980931,0.06062517498995863,-0.09010815928895728,FALSE,TRUE
LARS2,ENSG00000011376.12,20,0,0,-0.14090854838970623,0.046965658719669304,-0.15823433491852756,FALSE,TRUE
LAT,ENSG00000213658.12,20,0,0,0.3119985110844149,0.05774210442909333,0.30901943377663643,FALSE,TRUE
LAT2,ENSG00000086730.17,20,0,0,0.0776533750946068,0.05322344896187391,0.06783143105099215,FALSE,TRUE
LAX1,ENSG00000122188.13,20,0,0,-0.05699310045186543,0.04186210578397931,-0.05503755565191658,FALSE,TRUE
LAYN,ENSG00000204381.12,20,0,0,-0.031075130343538232,0.04433025381176845,-0.02311722730646534,FALSE,TRUE
LCAT,ENSG00000213398.8,20,0,0,0.30970574350190927,0.09300481428087903,0.3164075589955066,FALSE,TRUE
LCK,ENSG00000182866.17,20,0,0,-0.09606209759378519,0.04154807716393076,-0.08684927016873013,FALSE,TRUE
LCN2,ENSG00000148346.12,20,0,0,0.24627319717989968,0.05352837961616069,0.23827072794881593,FALSE,TRUE
LCP1,ENSG00000136167.15,20,0,0,-0.15977489273561385,0.050713178574929574,-0.1646055267626932,FALSE,TRUE
LCP2,ENSG00000043462.13,20,0,0,-0.036929545599543506,0.04085874766943148,-0.03425990797682585,FALSE,TRUE
LDHA,ENSG00000134333.14,20,0,0,-0.25466261734711004,0.04365144959636863,-0.2512767948525676,FALSE,TRUE
LDHB,ENSG00000111716.14,20,0,0,0.05754650224204738,0.046858085283073385,0.04508095824690128,FALSE,TRUE
LDHC,ENSG00000166796.12,20,0,0,0.05124079392865191,0.0348191889912123,0.06322211778832221,FALSE,TRUE
LDHD,ENSG00000166816.15,20,0,0,-0.26041455692442544,0.053429466410242266,-0.25664264564035877,FALSE,TRUE
LDLR,ENSG00000130164.14,20,0,0,0.15541196980022537,0.08345791674024022,0.17201196971798308,FALSE,TRUE
LDLRAD3,ENSG00000179241.13,20,0,0,0.1294765282626242,0.08317159936647521,0.11804602523011082,FALSE,TRUE
LEF1,ENSG00000138795.10,20,0,0,0.1688595179030097,0.05717975372159423,0.16814856269310652,FALSE,TRUE
LGALS1,ENSG00000100097.12,20,0,0,0.2153976602577705,0.061012780702722785,0.22560258285492787,FALSE,TRUE
LGALS12,ENSG00000133317.16,20,0,0,0.10101353463495055,0.06253502272125294,0.09572099285021823,FALSE,TRUE
LGALS3,ENSG00000131981.16,20,0,0,0.0909514398502033,0.06702396336638101,0.08648409661848905,FALSE,TRUE
LGALS9,ENSG00000168961.17,20,0,0,0.10080029921050776,0.06983965130463797,0.09981082488402876,FALSE,TRUE
LGI2,ENSG00000153012.12,20,0,0,0.1390742005212876,0.040024954230261034,0.12883514044203032,FALSE,TRUE
LGI4,ENSG00000153902.14,20,0,0,0.07445255300682999,0.05498826167013362,0.08790642193196777,FALSE,TRUE
LGR5,ENSG00000139292.13,20,0,0,-0.07707533885859962,0.04217778943274182,-0.0639365973131901,FALSE,TRUE
LGSN,ENSG00000146166.17,20,0,0,-0.19799235947477636,0.04382358135078035,-0.18111435448440405,FALSE,TRUE
LHFPL2,ENSG00000145685.14,20,0,0,0.04176971797584812,0.07580048117479304,0.03855584873981164,FALSE,TRUE
LHFPL3,ENSG00000187416.12,20,0,0,-0.10533188074832023,0.06031810521092579,-0.10433012029638164,FALSE,TRUE
LHX1,ENSG00000273706.5,20,0,0,0.16364227065400033,0.030956004583840263,0.15234168385794142,FALSE,TRUE
LHX2,ENSG00000106689.11,20,0,0,0.14462803293103743,0.03869657606294524,0.14248954848925874,FALSE,TRUE
LHX8,ENSG00000162624.14,20,0,0,0.025902176172418453,0.0681260168376982,0.04371655837619912,FALSE,TRUE
LIG1,ENSG00000105486.14,20,0,0,0.1283107452087625,0.06478221552587111,0.12633891413393605,FALSE,TRUE
LILRA1,ENSG00000104974.12,20,0,0,-0.08609692553431274,0.056150339572332564,-0.0963033063120369,FALSE,TRUE
LILRA2,ENSG00000239998.6,20,0,0,-0.2095796633055585,0.04771923100267092,-0.2129053706274285,FALSE,TRUE
LILRA4,ENSG00000239961.3,20,0,0,-0.32963955731131644,0.05914493026061196,-0.34030407623372494,FALSE,TRUE
LILRA6,ENSG00000244482.10,20,0,0,0.09398944482606576,0.06562828219163702,0.10922244185474694,FALSE,TRUE
LILRB1,ENSG00000104972.15,20,0,0,0.13335599042126622,0.06808287596669294,0.13199039074237345,FALSE,TRUE
LILRB2,ENSG00000131042.15,20,0,0,0.13681778594760974,0.07595670085208728,0.14449447675037952,FALSE,TRUE
LILRB3,ENSG00000204577.11,20,0,0,0.2471267949736165,0.07589367493577065,0.24359182555629155,FALSE,TRUE
LILRB4,ENSG00000186818.12,20,0,0,-0.027268672791218612,0.05513902911841574,-0.02710991484688841,FALSE,TRUE
LILRB5,ENSG00000105609.17,20,0,0,0.01880886109773805,0.07195733262464382,0.00858112622364372,FALSE,TRUE
LIN37,ENSG00000267796.8,20,0,0,0.25462061268859115,0.054659115803899455,0.2569249797516158,FALSE,TRUE
LIN52,ENSG00000205659.11,20,0,0,-0.1005315421686062,0.08793484828390005,-0.09349556149672587,FALSE,TRUE
LINGO1,ENSG00000169783.13,20,0,0,0.12510023295192338,0.065406480914557,0.13587414752633117,FALSE,TRUE
LINGO2,ENSG00000174482.10,20,0,0,0.07227491242797414,0.06157112166272639,0.06582380378341081,FALSE,TRUE
LIPA,ENSG00000107798.18,20,0,0,-0.33960828096168305,0.03251838026238618,-0.33749082474182845,FALSE,TRUE
LIPG,ENSG00000101670.12,20,0,0,0.19379382299046588,0.05679728376115864,0.17537844966586202,FALSE,TRUE
LIPH,ENSG00000163898.10,20,0,0,0.10190179205433411,0.07896770340369443,0.08495484622670553,FALSE,TRUE
LIPI,ENSG00000188992.11,20,0,0,0.19356986686191818,0.02824541586552823,0.17995353338647505,FALSE,TRUE
LIX1,ENSG00000145721.12,20,0,0,-0.21827032132046847,0.031808216887244584,-0.21796893330962316,FALSE,TRUE
LLGL2,ENSG00000073350.14,20,0,0,-0.01880549898752463,0.07514905771622277,-0.0285998535129999,FALSE,TRUE
LMNB1,ENSG00000113368.12,20,0,0,0.15619451644618115,0.06180773867089576,0.1570525169882338,FALSE,TRUE
LMO3,ENSG00000048540.15,20,0,0,0.06068336593115088,0.02810806484041077,0.0691327140107551,FALSE,TRUE
LMO7,ENSG00000136153.20,20,0,0,-0.21219964927283252,0.08361158211583589,-0.20962000357267463,FALSE,TRUE
LMTK3,ENSG00000142235.12,20,0,0,0.12497743599847189,0.05950325840879912,0.10628217852662251,FALSE,TRUE
LNX1,ENSG00000072201.14,20,0,0,-0.1669433427579479,0.041874307931625304,-0.16360541235994505,FALSE,TRUE
LOC100130691,ENSG00000213963.6,20,0,0,0.16607545701899756,0.024930907690898674,0.13946759140328308,FALSE,TRUE
LOC374443,ENSG00000284634.1,20,0,0,0.2456177880932977,0.05907743697748227,0.2165312064400164,FALSE,TRUE
LOC441179,ENSG00000269155.2,20,0,0,0.07447473525835421,0.05504730981508647,0.06487689098183799,FALSE,TRUE
LOH12CR2,ENSG00000205791.3,20,0,0,-0.02353528414293262,0.03895854915972813,-0.01087952460844921,FALSE,TRUE
LONRF2,ENSG00000170500.13,20,0,0,0.1043279466639442,0.062387226156062014,0.10696310588293656,FALSE,TRUE
LOX,ENSG00000113083.15,20,0,0,-0.09251615831827135,0.0412781535244101,-0.08937295673462031,FALSE,TRUE
LOXL2,ENSG00000134013.16,20,0,0,0.19550178694164488,0.07232317574188749,0.19899550473449976,FALSE,TRUE
LOXL3,ENSG00000115318.12,20,0,0,0.27555691943515337,0.03476595104523428,0.28257819659535266,FALSE,TRUE
LOXL4,ENSG00000138131.4,20,0,0,0.012638550990535844,0.07515546542197515,0.00661326047069564,FALSE,TRUE
LPA,ENSG00000198670.12,20,0,0,-0.28108360279258754,0.06040180976719792,-0.2466677894124971,FALSE,TRUE
LPAR4,ENSG00000147145.12,20,0,0,0.12324129824609739,0.0350064434344072,0.12818330712654674,FALSE,TRUE
LPAR5,ENSG00000184574.10,20,0,0,-0.005135892619019389,0.029837443409260277,-0.00248169254570522,FALSE,TRUE
LPCAT1,ENSG00000153395.10,20,0,0,0.0067384302276943114,0.07438142159445138,0.01236190131503647,FALSE,TRUE
LPIN2,ENSG00000101577.10,20,0,0,-0.23888586576151521,0.07253856288861352,-0.23961463240751063,FALSE,TRUE
LPL,ENSG00000175445.17,20,0,0,-0.13988342904279039,0.05380570110197237,-0.12488608282060117,FALSE,TRUE
LPXN,ENSG00000110031.13,20,0,0,0.02000029026573124,0.06211135838056714,0.02697850254124772,FALSE,TRUE
LRG1,ENSG00000171236.10,20,0,0,-0.04497447566047473,0.04470266364578189,-0.052002001189794,FALSE,TRUE
LRP1B,ENSG00000168702.18,20,0,0,0.031053779603204545,0.04448204324498842,0.01988931764242807,FALSE,TRUE
LRRC17,ENSG00000128606.13,20,0,0,0.016090231073889252,0.050281565760737744,0.03102693749067028,FALSE,TRUE
LRRC2,ENSG00000163827.13,20,0,0,0.12894130356130204,0.04036356003023896,0.1185843952952354,FALSE,TRUE
LRRC25,ENSG00000175489.10,20,0,0,-0.14505755103205323,0.054040982992586,-0.1433320216596735,FALSE,TRUE
LRRC31,ENSG00000114248.10,20,0,0,-0.19365503778625826,0.03644361456257533,-0.21384344110809117,FALSE,TRUE
LRRC36,ENSG00000159708.18,20,0,0,-0.033665970264377607,0.058506458482509835,-0.00887748418266562,FALSE,TRUE
LRRC38,ENSG00000162494.6,20,0,0,0.21216915086035207,0.05601621532764589,0.18734171421608753,FALSE,TRUE
LRRC39,ENSG00000122477.13,20,0,0,0.27564445452621045,0.046142673294609526,0.27141491677829976,FALSE,TRUE
LRRC3B,ENSG00000179796.12,20,0,0,-0.12027949808121324,0.044538307051341985,-0.11442877578033891,FALSE,TRUE
LRRC41,ENSG00000132128.16,20,0,0,-0.08649827029313575,0.07439504743316631,-0.09047215654030584,FALSE,TRUE
LRRC43,ENSG00000158113.13,20,0,0,0.11996156432819506,0.06576109741321409,0.12577576894552123,FALSE,TRUE
LRRC4B,ENSG00000131409.13,20,0,0,0.03690490665434866,0.05794410089523798,0.02475840892276947,FALSE,TRUE
LRRC52,ENSG00000162763.4,20,0,0,0.04240770489821338,0.04628389858095783,0.0429015322211438,FALSE,TRUE
LRRC55,ENSG00000183908.7,20,0,0,-0.22766130803070428,0.08330093931120847,-0.22326035220420812,FALSE,TRUE
LRRC66,ENSG00000188993.3,20,0,0,-0.05636225599814784,0.07584203346633464,-0.05199507921777695,FALSE,TRUE
LRRK1,ENSG00000154237.13,20,0,0,0.047064576464488056,0.06541664221961008,0.04528515721915544,FALSE,TRUE
LRRK2,ENSG00000188906.16,20,0,0,-0.32291621505836865,0.026339942650207893,-0.3266662037056079,FALSE,TRUE
LRRN1,ENSG00000175928.6,20,0,0,0.21059745267476815,0.0482835606230205,0.1943224669746437,FALSE,TRUE
