accession,symbol,log2FoldChange,log2fc_ci_low,log2fc_ci_high,AveExpr,t,pvalue,padj,B,significant
GSE53757,SHROOM3,-1.1931699373804971,-1.4591268799796069,-0.9272129947813873,7.097629861772172,-8.940329647028848,2.293225103706402e-13,1.3913813410979178e-12,19.752634575184725,TRUE
GSE53757,COMMD2,0.4148731095888124,0.32238631328019807,0.5073599058974267,9.5831344343307,8.939188845352682,2.30458644651999e-13,1.397903973923048e-12,19.747712417204806,FALSE
GSE53757,CD96,1.727488854513423,1.3423797353223395,2.1125979737045064,5.486669781315096,8.939104473126376,2.3054289526169645e-13,1.3980443794295296e-12,19.747348379523235,TRUE
GSE53757,DUSP3,-0.48411480307250093,-0.592048581874747,-0.3761810242702549,9.605735556445213,-8.938271494444695,2.3137633092249567e-13,1.402726669715607e-12,19.743754348769436,FALSE
GSE53757,BRWD1-IT2,-0.8538504784924477,-1.0442278241221183,-0.663473132862777,7.050426418768774,-8.93776888536816,2.3188067495775927e-13,1.40541187894928e-12,19.741585747100835,FALSE
GSE53757,LINC00271,-1.0889123536801346,-1.331716760353341,-0.8461079470069282,6.579322037404676,-8.937147423558674,2.325058048465057e-13,1.4088275463156915e-12,19.738904324811795,TRUE
GSE53757,FAM133B,0.43742100790539334,0.3398645386854941,0.5349774771252926,9.04092544342577,8.935237994471203,2.3443708524273563e-13,1.42015369614874e-12,19.730665652193128,FALSE
GSE53757,TDRD9,-1.4985401286808047,-1.8327647868919281,-1.1643154704696812,7.008931656067982,-8.93495667375116,2.347229803112777e-13,1.4215092084494533e-12,19.72945182189779,TRUE
GSE53757,LOC100996696,0.4466057574435723,0.3469950902316682,0.5462164246554764,11.072855137206728,8.934721707812775,2.3496203449480816e-13,1.4225804046682219e-12,19.7284379997845,FALSE
GSE53757,CAPZA2,0.5056853086017908,0.3928924709441058,0.618478146259476,10.084418218493155,8.93431736077318,2.353739879751446e-13,1.4246975780082826e-12,19.726693335553012,FALSE
GSE53757,ELF1,0.5887011748029715,0.45738655253800564,0.7200157970679373,10.012866605062362,8.933967644969485,2.3573086592662693e-13,1.4264803523938704e-12,19.725184389477434,FALSE
GSE53757,LOC497256,-2.064593668317023,-2.5252434361613583,-1.6039439004726879,3.5379375862278932,-8.931538940641557,2.382243077069425e-13,1.441187773753264e-12,19.714704992022536,TRUE
GSE53757,TPMT,-0.7972816469184042,-0.9751884838118475,-0.6193748100249609,7.987344902263767,-8.930621642808754,2.391729145417444e-13,1.446544087950069e-12,19.710746991192256,FALSE
GSE53757,CCT6B,-0.680623515737127,-0.8325170135193265,-0.5287300179549275,8.160027013469156,-8.929565525381047,2.402697659439602e-13,1.452793933614643e-12,19.70618998116007,FALSE
GSE53757,SMARCAL1,0.45668682001530303,0.35476077942857376,0.5586128606020323,9.262110111381425,8.928857371366755,2.410080536421591e-13,1.4568729900482433e-12,19.703134374029652,FALSE
GSE53757,MIEF1,-0.37283776871062746,-0.45605285604197043,-0.2896226813792845,9.550553598379807,-8.928538764030689,2.4134095924291955e-13,1.4581633356178202e-12,19.70175961450453,FALSE
GSE53757,LOC101927081,-1.7360985718677944,-2.1235853836732517,-1.3486117600623369,5.25991373107259,-8.928531097811595,2.413489751741558e-13,1.4581633356178202e-12,19.701726535489822,TRUE
GSE53757,F2R,0.8300885760857347,0.6448119820768828,1.0153651700945867,8.980824170562336,8.928252009883952,2.4164097598234153e-13,1.4595421146979868e-12,19.700522296411474,FALSE
GSE53757,C16orf86,-0.6102222323072864,-0.7464260455063989,-0.474018419108174,7.937993271706269,-8.928146779462297,2.417511670647783e-13,1.459822302043317e-12,19.70006823623437,FALSE
GSE53757,RP11-250B2.3,-1.1933536255157609,-1.4597251323041571,-0.9269821187273645,5.744250507178302,-8.927789688051268,2.4212546742747664e-13,1.461696753229727e-12,19.69852741578069,TRUE
