rule,rank,symbol,cohort,present,log_hr,p_value,same_direction,fdr
complete_rule,20,LRBA,GSE29609,TRUE,0.40494740499473175,0.08442892303758859,FALSE,0.27250814504945836
complete_rule,21,GRAMD1A,GSE29609,TRUE,0.02972420456905957,0.8876189084560949,TRUE,0.8876189084560949
complete_rule,22,IFFO1,GSE29609,FALSE,NA,NA,NA,NA
survival_only,1,CRYZ,GSE29609,TRUE,0.3000138723299005,0.20442403156968958,FALSE,0.37842492619159024
survival_only,2,CYFIP2,GSE29609,TRUE,0.35907083247409527,0.16464952961916585,FALSE,0.35484201787294484
survival_only,3,STX1A,GSE29609,TRUE,0.10982719349960766,0.6516798519264025,TRUE,0.7308718512280032
survival_only,4,MOB3B,GSE29609,TRUE,0.3554725806136826,0.1680830610977107,FALSE,0.35484201787294484
survival_only,5,BBOX1,GSE29609,TRUE,0.786435731572346,0.002381629548919997,FALSE,0.022274025881674757
survival_only,6,DONSON,GSE29609,TRUE,-0.1466492223568983,0.5430867818539432,FALSE,0.6879099236816614
survival_only,7,CORO6,GSE29609,TRUE,-0.16365052738080302,0.4485115750963321,FALSE,0.6086942804878793
survival_only,8,CRYL1,GSE29609,TRUE,0.34405317944990815,0.13858476524664073,FALSE,0.35484201787294484
survival_only,9,LOC128966610,GSE29609,FALSE,NA,NA,NA,NA
survival_only,10,GBA3,GSE29609,TRUE,0.43483936054384403,0.04999101510782151,FALSE,0.21176280234629172
survival_only,11,SEC61A2,GSE29609,TRUE,-0.3281123172797316,0.21908811516355226,FALSE,0.37842492619159024
survival_only,12,HHLA2,GSE29609,TRUE,0.4514257351737937,0.09482324743453878,FALSE,0.30027361687603943
survival_only,13,DVL3,GSE29609,TRUE,0.11884552559189261,0.6539379721513713,TRUE,0.7308718512280032
survival_only,14,COL7A1,GSE29609,TRUE,-0.21025320779920872,0.3419219007001713,FALSE,0.49973200871563495
survival_only,15,GCKR,GSE29609,TRUE,-1.021779428868535,2.8627009325269315e-4,FALSE,0.00543913177180117
survival_only,16,FBXL5,GSE29609,TRUE,0.8730997113856016,0.0035169514550012775,FALSE,0.022274025881674757
survival_only,17,GABBR1,GSE29609,TRUE,-0.013357501275555062,0.954833794266052,FALSE,0.954833794266052
survival_only,18,CLTRN,GSE29609,FALSE,NA,NA,NA,NA
survival_only,19,ANXA8,GSE29609,FALSE,NA,NA,NA,NA
survival_only,20,RPL36A,GSE29609,TRUE,0.26386433557821154,0.299206333911604,TRUE,0.4737433620267063
survival_only,21,SLC26A6,GSE29609,TRUE,-0.07742175642951314,0.7619270654487487,FALSE,0.8042563468625681
survival_only,22,CUBN,GSE29609,TRUE,0.46314917879413486,0.05572705324902414,FALSE,0.21176280234629172
de_only,1,SLC60A1,GSE29609,FALSE,NA,NA,NA,NA
de_only,2,PVT1,GSE29609,TRUE,-0.49649448936523993,0.05675670661494599,FALSE,0.12972961511987655
de_only,3,SPAG4,GSE29609,TRUE,0.05268796658984764,0.8206885039346619,FALSE,0.8206885039346619
de_only,4,LOC100130691,GSE29609,TRUE,0.11464893553904291,0.6690006924163003,TRUE,0.713600738577387
de_only,5,COXFA4L2,GSE29609,FALSE,NA,NA,NA,NA
de_only,6,ACP3,GSE29609,FALSE,NA,NA,NA,NA
de_only,7,GABRD,GSE29609,TRUE,-0.25954370595766824,0.26847590560766693,TRUE,0.4295614489722671
de_only,8,EGLN3,GSE29609,TRUE,0.5324264081658585,0.004498558271577133,FALSE,0.067818247476561
de_only,9,HILPDA,GSE29609,TRUE,0.34298038142165205,0.0954467036356432,FALSE,0.1908934072712864
de_only,10,NOL3,GSE29609,TRUE,0.40938393150431696,0.042486478019103185,TRUE,0.11329727471760849
de_only,11,SCARB1,GSE29609,TRUE,0.16028933722586208,0.5470872582297943,FALSE,0.6733381639751315
de_only,12,LINC00887,GSE29609,FALSE,NA,NA,NA,NA
de_only,13,COL23A1,GSE29609,TRUE,0.5317788246296571,0.02736249087390581,FALSE,0.10373187720361488
de_only,14,CA9,GSE29609,TRUE,0.23201041674064954,0.2984136294577264,FALSE,0.43405618830214754
de_only,15,DDB2,GSE29609,TRUE,0.5255308225356838,0.03241621162612965,FALSE,0.10373187720361488
de_only,16,LOC102723663,GSE29609,FALSE,NA,NA,NA,NA
de_only,17,STC2,GSE29609,TRUE,0.2970630888874697,0.23790308526242912,FALSE,0.4229388182443184
de_only,18,HSF4,GSE29609,TRUE,0.8153616348789163,0.008477280934570125,TRUE,0.067818247476561
de_only,19,CDCA2,GSE29609,TRUE,0.5887707735163781,0.015774612291538915,FALSE,0.08413126555487421
de_only,20,LINC02348,GSE29609,FALSE,NA,NA,NA,NA
de_only,21,CDKN2A,GSE29609,TRUE,-0.11779191388247305,0.6569140720843881,FALSE,0.713600738577387
de_only,22,RBP2,GSE29609,TRUE,0.18930479342000267,0.4206354062358632,TRUE,0.5608472083144842
leave_out_gse53757,1,CYFIP2,GSE29609,TRUE,0.35907083247409527,0.16464952961916585,FALSE,0.30450071346976954
leave_out_gse53757,2,CRYL1,GSE29609,TRUE,0.34405317944990815,0.13858476524664073,FALSE,0.30450071346976954
leave_out_gse53757,3,HHLA2,GSE29609,TRUE,0.4514257351737937,0.09482324743453878,FALSE,0.28613355230193127
leave_out_gse53757,4,SLC16A12,GSE29609,TRUE,0.18730196446915207,0.4788922425373782,FALSE,0.558707616293608
leave_out_gse53757,5,PANK1,GSE29609,TRUE,0.3246128267607624,0.20300047564651302,FALSE,0.30450071346976954
leave_out_gse53757,6,GJB1,GSE29609,TRUE,-0.06416747452303483,0.8277708220987942,TRUE,0.8691593632037339
leave_out_gse53757,7,KL,GSE29609,FALSE,NA,NA,NA,NA
leave_out_gse53757,8,ACADM,GSE29609,TRUE,0.3741311786226243,0.09537785076731042,FALSE,0.28613355230193127
leave_out_gse53757,9,DDC,GSE29609,TRUE,0.8301386856599177,0.0020423596773671577,FALSE,0.021444776612355155
leave_out_gse53757,10,CNTNAP1,GSE29609,TRUE,-0.35927018274553524,0.08605061432580853,FALSE,0.28613355230193127
leave_out_gse53757,11,C1QTNF6,GSE29609,TRUE,-0.3867307601447098,0.15515054425727928,FALSE,0.30450071346976954
leave_out_gse53757,12,KNTC1,GSE29609,TRUE,-0.25794274703216596,0.30146490555488525,FALSE,0.3956726885407869
leave_out_gse53757,13,TMEM140,GSE29609,TRUE,0.14466109252650103,0.5327892127650584,FALSE,0.5888722877929594
leave_out_gse53757,14,CLCN5,GSE29609,TRUE,0.5220036332117834,0.035113841899140116,FALSE,0.2457968932939808
leave_out_gse53757,15,CADPS2,GSE29609,TRUE,-0.33808531497175026,0.19489064731032255,TRUE,0.30450071346976954
leave_out_gse53757,16,TNIP1,GSE29609,TRUE,0.40202737908897784,0.12644342085429178,FALSE,0.30450071346976954
leave_out_gse53757,17,CHFR,GSE29609,TRUE,-0.25633016342782833,0.23159700671666075,FALSE,0.324235809403325
leave_out_gse53757,18,PODXL,GSE29609,TRUE,0.19689746508539877,0.36541243235677684,FALSE,0.4513918282054302
leave_out_gse53757,19,LRBA,GSE29609,TRUE,0.40494740499473175,0.08442892303758859,FALSE,0.28613355230193127
leave_out_gse53757,20,TCIRG1,GSE29609,TRUE,-0.7659006109987655,0.0010560811002724231,FALSE,0.021444776612355155
leave_out_gse53757,21,HIBCH,GSE29609,TRUE,0.2855619338449482,0.19960101643505565,FALSE,0.30450071346976954
leave_out_gse53757,22,TNFAIP2,GSE29609,TRUE,0.03767974552637499,0.877666233360152,TRUE,0.877666233360152
leave_out_gse40435,1,CYFIP2,GSE29609,TRUE,0.35907083247409527,0.16464952961916585,FALSE,0.3292990592383317
leave_out_gse40435,2,CRYL1,GSE29609,TRUE,0.34405317944990815,0.13858476524664073,FALSE,0.3292990592383317
leave_out_gse40435,3,HHLA2,GSE29609,TRUE,0.4514257351737937,0.09482324743453878,FALSE,0.3179261692243681
leave_out_gse40435,4,GABBR1,GSE29609,TRUE,-0.013357501275555062,0.954833794266052,FALSE,0.9799571573925592
leave_out_gse40435,5,GCKR,GSE29609,TRUE,-1.021779428868535,2.8627009325269315e-4,FALSE,0.005725401865053863
leave_out_gse40435,6,THBS3,GSE29609,TRUE,0.07845863974512472,0.7895848842859582,TRUE,0.9799571573925592
leave_out_gse40435,7,PLEKHG4B,GSE29609,TRUE,0.006226715376696673,0.9799571573925592,TRUE,0.9799571573925592
leave_out_gse40435,8,FIRRE,GSE29609,FALSE,NA,NA,NA,NA
leave_out_gse40435,9,PANK1,GSE29609,TRUE,0.3246128267607624,0.20300047564651302,FALSE,0.36909177390275094
leave_out_gse40435,10,ENGASE,GSE29609,TRUE,-0.09673074291665998,0.6743685861806237,FALSE,0.9799571573925592
leave_out_gse40435,11,SNHG17,GSE29609,TRUE,-0.03063154248832478,0.8977619748007211,FALSE,0.9799571573925592
leave_out_gse40435,12,GJB1,GSE29609,TRUE,-0.06416747452303483,0.8277708220987942,TRUE,0.9799571573925592
leave_out_gse40435,13,KL,GSE29609,FALSE,NA,NA,NA,NA
leave_out_gse40435,14,SMIM24,GSE29609,TRUE,0.7384746076932462,0.006164343983721555,FALSE,0.0410956265581437
leave_out_gse40435,15,ACADM,GSE29609,TRUE,0.3741311786226243,0.09537785076731042,FALSE,0.3179261692243681
leave_out_gse40435,16,PIF1,GSE29609,TRUE,-0.38780003944139374,0.11936695600380852,FALSE,0.3292990592383317
leave_out_gse40435,17,DDC,GSE29609,TRUE,0.8301386856599177,0.0020423596773671577,FALSE,0.020423596773671577
leave_out_gse40435,18,CHTF18,GSE29609,TRUE,-0.34875119000902266,0.15722832401644404,FALSE,0.3292990592383317
leave_out_gse40435,19,RAPGEFL1,GSE29609,TRUE,-0.13181896362249634,0.5570085906228678,FALSE,0.928347651038113
leave_out_gse40435,20,ADAMTS14,GSE29609,TRUE,0.006059148434638684,0.9777098443848885,TRUE,0.9799571573925592
leave_out_gse40435,21,MICALL2,GSE29609,TRUE,-0.5961761900053323,0.022396000869272445,FALSE,0.11198000434636222
leave_out_gse40435,22,NOL12,GSE29609,TRUE,0.03665719971319219,0.872651582560655,TRUE,0.9799571573925592
expression_matched_control,1,C1QB,GSE29609,TRUE,-0.3458016787098718,0.16397958729843798,TRUE,0.5921516157637148
expression_matched_control,2,COPZ1,GSE29609,TRUE,-0.2630778428992666,0.1764265645215647,FALSE,0.5921516157637148
expression_matched_control,3,ACSL3,GSE29609,TRUE,0.0880273778015879,0.7134246895370043,FALSE,0.8033131024158313
expression_matched_control,4,STIM1,GSE29609,TRUE,-0.45438685257422967,0.10263611307280084,TRUE,0.5921516157637148
expression_matched_control,5,CCT2,GSE29609,TRUE,-0.3689439822027275,0.13911025118445738,TRUE,0.5921516157637148
expression_matched_control,6,ZMIZ1,GSE29609,TRUE,-0.2617579340946071,0.3164719341241979,TRUE,0.6041736924189233
expression_matched_control,7,IL2RB,GSE29609,TRUE,-0.1990161273898758,0.4587096879849286,TRUE,0.6880645319773929
expression_matched_control,8,RAB3IL1,GSE29609,TRUE,0.07611587074539652,0.7416689169682384,FALSE,0.8033131024158313
expression_matched_control,9,ACTR1A,GSE29609,TRUE,-0.24641999488532598,0.25325437834590825,FALSE,0.6041736924189233
expression_matched_control,10,MSI2,GSE29609,TRUE,-0.46885013189740676,0.10730928500174312,FALSE,0.5921516157637148
expression_matched_control,11,DNAJC5,GSE29609,TRUE,-0.1411633009963921,0.5325133384790667,FALSE,0.7054030872749516
